Spectral_Type	Teff	SpT
M1	3705	1.0
M2	3560	2.0
M3	3415	3.0
M4	3270	4.0
M5	3125	5.0
M6	2990	6.0
M7	2880	7.0
M8	2710	8.0
M9	2400	9.0
