EPIC,Name_IAU,RAdeg,DEdeg,Other,Vmag,Ksmag_R16,(V-K)0,Per1,Per2,Per3,Per4,Ampl,LC,memb,Per_lit,vsini,Per_cat,dd,ddm,shch,beat,cpeak,resc,resd,dscu,cloud,Name_adopt,Ksmag_S16,(V-K),Mass,Mbol,Radius,Teff,Delmag,E(B-V)
211099297.0,035558.38+243259.7,58.99328,24.54994,PELS115,12.75,9.92,2.72,7.2256,,,,0.078,LC2,best,,,single,no,no,yes,no,no,no,no,no,no,PELS115,9.91,2.72,0.78,6.33,0.8,4482.0,0.13,
210909923.0,035604.52+213242.7,59.01886,21.54522,s4869367,,11.16,5.25,0.4704,0.3891,,,0.024,LC1,best,,,multi,no,no,no,no,no,yes,no,no,no,s4869367,11.15,5.25,0.32,8.04,0.73,3171.0,1.23,
210846442.0,035611.31+203430.2,59.04716,20.57508,DH829,,11.84,4.88,1.1199,,,,0.032,LC2,best,,,single,no,no,no,no,no,no,no,no,no,DH829,11.83,4.88,0.41,8.69,0.5,3293.0,0.02,
211129571.0,035611.37+250336.7,59.04741,25.0602,BPL334,,14.23,7.04,0.8741,,,,0.053,LC1,best,,,single,no,no,no,no,no,no,no,no,no,BPL334,14.22,7.04,0.09,,,,0.17,
210877423.0,035612.30+210227.0,59.05127,21.04085,AKV198,10.79,8.97,1.71,5.3922,3.4702,1.6431,3.268,0.016,LC3,best,,,multi,no,no,no,yes,yes,yes,no,no,no,AKV198,8.96,1.71,1.01,4.84,1.02,5564.0,0.24,
211152884.0,035615.79+252915.5,59.06581,25.48765,BPL335,,12.68,5.81,0.4688,,,,0.031,LC1,best,,,single,no,no,no,no,no,no,no,no,no,BPL335,12.67,5.81,0.21,9.59,0.39,3017.0,0.56,
211062206.0,035618.59+235751.9,59.07746,23.96444,SK22,15.74,11.28,4.35,1.1343,,,,0.024,LC1,best,,,single,no,no,no,no,no,no,no,no,no,SK22,11.27,4.35,0.52,8.09,0.58,3504.0,-0.05,
210882573.0,035622.30+210717.1,59.09293,21.12144,DH831,,12.02,5.11,0.6128,,,,0.071,LC2,best,,,single,no,no,no,no,no,no,no,no,no,DH831,12.01,5.11,0.36,8.89,0.48,3216.0,0.11,
211116507.0,035623.49+244956.7,59.09788,24.83243,HCG508,14.12,10.55,3.46,3.3228,,,,0.095,LC1,best,,,single,no,no,no,no,no,no,no,no,no,HCG508,10.54,3.46,0.67,7.2,0.69,3956.0,-0.01,
210769047.0,035623.92+192353.7,59.09967,19.39828,UGCSJ035623.92+192353.3,,12.89,5.7,0.6439,,,,0.019,LC1,best,,,single,no,no,no,no,no,no,no,no,no,UGCSJ035623.92+192353.3,12.88,5.7,0.22,9.8,0.35,3043.0,0.28,
211007344.0,035624.98+230526.9,59.10409,23.09081,SK17,15.3,11.08,4.11,14.5813,,,,0.06,LC3,best,,,single,yes,yes,yes,no,no,no,no,no,no,SK17,11.07,4.11,0.56,7.86,0.61,3613.0,-0.05,
211081949.0,035625.92+241651.5,59.10803,24.28099,SK18,15.03,11.01,3.91,2.1138,,,,0.053,LC1,ok,2.12,,single,no,no,no,no,no,no,no,no,no,SK18,11.0,3.91,0.59,7.75,0.6,3710.0,-0.13,
211066413.0,035628.90+240154.4,59.12042,24.03178,HHJ165,17.9,12.64,5.15,0.4551,,,,0.044,LC1,best,0.46,,single,no,no,no,no,no,no,no,no,no,HHJ165,12.63,5.15,0.35,9.51,0.36,3202.0,-0.45,
210986927.0,035647.79+224608.1,59.19914,22.76893,s5061696,,10.72,3.56,10.6678,1.0757,,,0.022,LC2,best,,,multi,no,no,no,yes,no,no,yes,no,no,s5061696,10.71,3.56,0.65,7.39,0.65,3897.0,-0.12,
