	Name_2MASS	Name_alt	Spectral_Type	T_eff	AJ	L_bol	IMF
195	J11142906-7625399	ESO H\alpha 571	M4.75	3161	0.18	0.037000000000000005	
196	J11145031-7733390	B53	M2.75	3451	0.0	0.24	
197	J11152180-7724042	ESO H\alpha 572	M4.75	3161	0.41	0.096	
198	J11155827-7729046		M4.5	3198	0.0	0.057	
199	J11160287-7624533	ESO H\alpha 574	K8	3955	0.45	0.0034	
200	J11173700-7704381	T56	M0.5	3778	0.16	0.39	
201	J11173792-7646193		M5.75	3024	0.0	0.013000000000000001	
202	J11175211-7629392		M4.5	3198	0.18	0.087	
203	J11181957-7622013	CHXR 68B	M2.25	3524	0.18	0.15	
204	J11182024-7621576	CHXR 68A	K8	3955	0.23	0.7	
205	J11183379-7643041		M5	3125	0.0	0.09699999999999999	
206	J11183572-7935548		M4.75	3161	0.0	0.21	
207	J11194214-7623326		M5	3125	0.23	0.033	
208	J11195652-7504529		M7.25	2838	0.0	0.0077	
209	J11241186-7630425		M5	3125	0.77	0.047	
210	J11242980-7554237		M4.75	3161	0.23	0.18	
211	J11332327-7622092		M4.5	3198	0.0	0.2	
212	J11334926-7618399		M4.5	3198	0.23	0.057999999999999996	
213	J11404967-7459394		M5.75	3024	0.0	0.027000000000000003	
214	J11432669-7804454		M5	3125	0.27	0.096	
