mass	age	Teff	logg	logL
0.04	0.22607	1902.0	4.938	-3.83
0.04	0.2546	1844.0	4.954	-3.9
0.04	0.28633000000000003	1786.0	4.968	-3.97
0.04	0.32202	1728.0	4.982	-4.05
0.05	0.0010400000000000001	2844.0	3.6260000000000003	-1.73
0.05	0.0012	2844.0	3.63	-1.73
0.05	0.0012699999999999999	2844.0	3.6310000000000002	-1.73
0.05	0.0014199999999999998	2844.0	3.635	-1.74
0.05	0.00162	2844.0	3.64	-1.74
0.05	0.0018	2844.0	3.645	-1.75
0.05	0.00202	2845.0	3.6519999999999997	-1.75
0.05	0.00227	2845.0	3.661	-1.76
0.05	0.00252	2845.0	3.6710000000000003	-1.77
0.05	0.00283	2846.0	3.685	-1.79
0.05	0.00317	2846.0	3.705	-1.8
0.05	0.0035600000000000002	2846.0	3.735	-1.83
0.05	0.00399	2846.0	3.78	-1.88
0.05	0.00447	2844.0	3.841	-1.94
0.05	0.00503	2841.0	3.9010000000000002	-2.0
0.05	0.00565	2837.0	3.955	-2.06
0.05	0.00634	2833.0	4.006	-2.11
0.05	0.007090000000000001	2832.0	4.052	-2.16
0.05	0.00796	2831.0	4.098	-2.21
0.05	0.00897	2829.0	4.143	-2.25
0.05	0.010029999999999999	2826.0	4.184	-2.3
0.05	0.01124	2823.0	4.225	-2.34
0.05	0.01265	2819.0	4.265	-2.38
0.05	0.01427	2815.0	4.306	-2.42
0.05	0.01592	2811.0	4.343	-2.46
0.05	0.01779	2805.0	4.379	-2.5
0.05	0.02021	2798.0	4.419	-2.55
0.05	0.022680000000000002	2789.0	4.455	-2.59
0.05	0.02514	2781.0	4.487	-2.63
0.05	0.028360000000000003	2768.0	4.522	-2.67
0.05	0.03207	2753.0	4.558	-2.72
0.05	0.035769999999999996	2738.0	4.59	-2.76
0.05	0.03996	2721.0	4.62	-2.8
0.05	0.0447	2702.0	4.651	-2.84
0.05	0.05092	2678.0	4.685	-2.89
0.05	0.057179999999999995	2655.0	4.716	-2.94
0.05	0.06324	2633.0	4.7410000000000005	-2.98
0.05	0.0712	2606.0	4.771	-3.02
0.05	0.08026	2574.0	4.7989999999999995	-3.07
0.05	0.09066	2540.0	4.828	-3.13
0.05	0.10086	2508.0	4.852	-3.17
0.05	0.1125	2473.0	4.876	-3.22
0.05	0.12593	2434.0	4.9	-3.27
0.05	0.14142000000000002	2391.0	4.9239999999999995	-3.33
0.05	0.15927	2343.0	4.948	-3.39
0.05	0.17984	2291.0	4.971	-3.45
0.05	0.20289000000000001	2240.0	4.993	-3.51
0.05	0.22429000000000002	2195.0	5.01	-3.56
0.05	0.25289	2140.0	5.03	-3.63
0.05	0.28531999999999996	2084.0	5.0489999999999995	-3.69
0.05	0.32179	2029.0	5.0680000000000005	-3.76
0.05	0.35535	1981.0	5.082	-3.81
0.05	0.39958	1923.0	5.098	-3.88
0.05	0.44859	1864.0	5.113	-3.95
0.05	0.50361	1805.0	5.127000000000001	-4.02
0.05	0.5664899999999999	1747.0	5.14	-4.09
0.055	0.0010400000000000001	2865.0	3.6010000000000004	-1.65
0.055	0.00117	2865.0	3.605	-1.65
0.055	0.0013	2865.0	3.608	-1.65
0.055	0.0014199999999999998	2865.0	3.611	-1.66
0.055	0.00158	2865.0	3.617	-1.66
0.055	0.00179	2865.0	3.623	-1.67
0.055	0.00201	2865.0	3.6319999999999997	-1.68
0.055	0.00224	2865.0	3.641	-1.69
0.055	0.00253	2865.0	3.655	-1.7
0.055	0.00282	2866.0	3.673	-1.72
0.055	0.00317	2867.0	3.702	-1.75
0.055	0.00355	2867.0	3.7430000000000003	-1.79
0.055	0.00399	2869.0	3.803	-1.85
0.055	0.00449	2867.0	3.863	-1.91
0.055	0.00504	2865.0	3.918	-1.96
0.055	0.00565	2863.0	3.969	-2.02
0.055	0.006370000000000001	2860.0	4.019	-2.07
0.055	0.00715	2860.0	4.065	-2.11
0.055	0.00797	2859.0	4.106	-2.16
0.055	0.00902	2858.0	4.152	-2.2
0.055	0.01011	2856.0	4.1930000000000005	-2.24
0.055	0.01137	2854.0	4.234	-2.29
0.055	0.01264	2852.0	4.271	-2.32
0.055	0.014280000000000001	2849.0	4.311	-2.37
0.055	0.01595	2846.0	4.348	-2.41
0.055	0.01784	2842.0	4.3839999999999995	-2.44
0.055	0.02	2838.0	4.42	-2.48
0.055	0.02245	2833.0	4.456	-2.52
0.055	0.025240000000000002	2826.0	4.492	-2.56
0.055	0.02843	2816.0	4.5280000000000005	-2.6
0.055	0.03211	2805.0	4.564	-2.65
0.055	0.03578	2793.0	4.595	-2.69
0.055	0.03995	2778.0	4.626	-2.73
0.055	0.045380000000000004	2761.0	4.662	-2.77
0.055	0.0508	2743.0	4.692	-2.81
0.055	0.056929999999999994	2724.0	4.723	-2.86
0.055	0.06391000000000001	2703.0	4.753	-2.9
0.055	0.07185	2679.0	4.783	-2.95
0.055	0.07952999999999999	2657.0	4.808	-2.99
0.055	0.08957999999999999	2629.0	4.838	-3.03
0.055	0.10102	2598.0	4.867	-3.08
0.055	0.11412	2563.0	4.895	-3.13
0.055	0.127	2532.0	4.919	-3.18
0.055	0.1417	2497.0	4.9430000000000005	-3.23
0.055	0.15865	2458.0	4.968	-3.28
0.055	0.17815	2414.0	4.992	-3.34
0.055	0.20062	2365.0	5.015	-3.39
0.055	0.22634	2314.0	5.038	-3.46
0.055	0.25540999999999997	2262.0	5.06	-3.52
0.055	0.2824	2218.0	5.077	-3.57
0.055	0.31861999999999996	2163.0	5.098	-3.63
0.055	0.3596	2106.0	5.117	-3.7
0.055	0.40571	2050.0	5.135	-3.76
0.055	0.44802	2003.0	5.149	-3.82
0.055	0.50373	1944.0	5.165	-3.89
0.055	0.56566	1885.0	5.18	-3.95
0.055	0.63549	1826.0	5.194	-4.02
