mass	Teff	logg	logL	Age
0.050	2678.	4.685	-2.89	7.7
0.055	2743.	4.692	-2.81	7.7
0.060	2798.	4.697	-2.75	7.7
0.070	2877.	4.706	-2.64	7.7
0.072	2890.	4.712	-2.63	7.7
0.075	2913.	4.715	-2.60	7.7
0.080	2952.	4.716	-2.55	7.7
0.090	3015.	4.717	-2.46	7.7
0.100	3057.	4.721	-2.40	7.7
0.110	3095.	4.720	-2.33	7.7
0.130	3159.	4.718	-2.22	7.7
0.150	3211.	4.713	-2.13	7.7
0.175	3260.	4.706	-2.03	7.7
0.200	3303.	4.700	-1.94	7.7
0.250	3361.	4.691	-1.80	7.7
0.300	3414.	4.684	-1.69	7.7
0.350	3458.	4.676	-1.59	7.7
0.400	3501.	4.664	-1.50	7.7
0.450	3536.	4.653	-1.42	7.7
0.500	3578.	4.640	-1.34	7.7
0.570	3668.	4.618	-1.22	7.7
0.600	3720.	4.605	-1.16	7.7
0.620	3763.	4.596	-1.12	7.7
0.700	3987.	4.547	-0.91	7.7
0.750	4224.	4.511	-0.75	7.7
0.800	4515.	4.477	-0.57	7.7
0.850	4825.	4.443	-0.39	7.7
0.900	5010.	4.482	-0.34	7.7
0.950	5122.	4.484	-0.28	7.7
1.000	5270.	4.461	-0.19	7.7
1.050	5398.	4.430	-0.10	7.7
1.100	5520.	4.394	0.00	7.7
1.150	5656.	4.359	0.10	7.7
1.200	5810.	4.327	0.19	7.7
1.300	6202.	4.285	0.38	7.7
1.400	6628.	4.277	0.54	7.7
0.020	1725.	4.502	-3.87	7.8
0.030	2134.	4.644	-3.47	7.8
0.040	2434.	4.711	-3.18	7.8
0.050	2633.	4.741	-2.98	7.8
0.055	2703.	4.753	-2.90	7.8
0.060	2764.	4.759	-2.83	7.8
0.070	2854.	4.773	-2.72	7.8
0.072	2868.	4.774	-2.70	7.8
0.075	2890.	4.777	-2.67	7.8
0.080	2925.	4.783	-2.63	7.8
0.090	2996.	4.785	-2.54	7.8
0.100	3042.	4.784	-2.47	7.8
0.110	3082.	4.783	-2.40	7.8
0.130	3151.	4.782	-2.29	7.8
0.150	3208.	4.781	-2.20	7.8
0.175	3258.	4.774	-2.10	7.8
0.200	3302.	4.768	-2.01	7.8
0.250	3365.	4.760	-1.87	7.8
0.300	3415.	4.749	-1.75	7.8
0.350	3461.	4.741	-1.66	7.8
0.400	3508.	4.728	-1.56	7.8
0.450	3548.	4.713	-1.48	7.8
0.500	3598.	4.693	-1.39	7.8
0.570	3709.	4.655	-1.24	7.8
0.600	3784.	4.636	-1.16	7.8
0.620	3849.	4.623	-1.10	7.8
0.700	4176.	4.558	-0.85	7.8
0.750	4512.	4.536	-0.66	7.8
0.800	4708.	4.541	-0.56	7.8
0.850	4784.	4.553	-0.52	7.8
0.900	4940.	4.526	-0.41	7.8
0.950	5113.	4.494	-0.30	7.8
1.000	5264.	4.463	-0.19	7.8
1.050	5395.	4.428	-0.09	7.8
1.100	5530.	4.391	0.01	7.8
1.150	5682.	4.356	0.11	7.8
1.200	5857.	4.326	0.21	7.8
1.300	6216.	4.287	0.39	7.8
1.400	6633.	4.277	0.54	7.8
0.030	2028.	4.686	-3.60	7.9
0.040	2358.	4.759	-3.28	7.9
0.050	2574.	4.799	-3.07	7.9
0.055	2657.	4.808	-2.99	7.9
0.060	2723.	4.819	-2.92	7.9
0.070	2827.	4.830	-2.80	7.9
0.072	2842.	4.836	-2.78	7.9
0.075	2865.	4.839	-2.75	7.9
0.080	2903.	4.841	-2.70	7.9
0.090	2971.	4.847	-2.62	7.9
0.100	3026.	4.848	-2.54	7.9
0.110	3067.	4.850	-2.48	7.9
0.130	3141.	4.850	-2.36	7.9
0.150	3204.	4.845	-2.26	7.9
0.175	3255.	4.839	-2.16	7.9
0.200	3301.	4.837	-2.08	7.9
0.250	3370.	4.825	-1.93	7.9
0.300	3418.	4.813	-1.82	7.9
0.350	3466.	4.802	-1.71	7.9
0.400	3515.	4.784	-1.61	7.9
0.450	3565.	4.764	-1.52	7.9
0.500	3624.	4.733	-1.41	7.9
0.570	3779.	4.682	-1.23	7.9
0.600	3885.	4.657	-1.14	7.9
0.620	3972.	4.641	-1.07	7.9
0.700	4351.	4.598	-0.81	7.9
0.750	4478.	4.613	-0.75	7.9
0.800	4605.	4.594	-0.65	7.9
0.850	4769.	4.558	-0.53	7.9
0.900	4945.	4.524	-0.41	7.9
0.950	5118.	4.493	-0.29	7.9
1.000	5261.	4.462	-0.19	7.9
1.050	5405.	4.424	-0.09	7.9
1.100	5550.	4.388	0.01	7.9
1.150	5706.	4.354	0.12	7.9
1.200	5876.	4.326	0.21	7.9
1.300	6223.	4.287	0.39	7.9
1.400	6637.	4.276	0.54	7.9
0.030	1929.	4.721	-3.72	8.0
0.040	2265.	4.807	-3.40	8.0
0.050	2508.	4.852	-3.17	8.0
0.055	2598.	4.867	-3.08	8.0
0.060	2672.	4.879	-3.01	8.0
0.070	2793.	4.891	-2.88	8.0
0.072	2812.	4.893	-2.86	8.0
0.075	2835.	4.901	-2.83	8.0
0.080	2876.	4.903	-2.78	8.0
0.090	2946.	4.910	-2.69	8.0
0.100	3006.	4.910	-2.61	8.0
0.110	3051.	4.914	-2.55	8.0
0.130	3129.	4.913	-2.43	8.0
0.150	3199.	4.909	-2.33	8.0
0.175	3253.	4.902	-2.23	8.0
0.200	3299.	4.896	-2.14	8.0
0.250	3372.	4.884	-1.99	8.0
0.300	3424.	4.873	-1.87	8.0
0.350	3471.	4.857	-1.77	8.0
0.400	3525.	4.835	-1.66	8.0
0.450	3583.	4.805	-1.55	8.0
0.500	3658.	4.765	-1.43	8.0
0.570	3864.	4.704	-1.22	8.0
0.600	3987.	4.684	-1.12	8.0
0.620	4063.	4.670	-1.06	8.0
0.700	4246.	4.652	-0.91	8.0
0.750	4426.	4.625	-0.78	8.0
0.800	4603.	4.591	-0.65	8.0
0.850	4771.	4.556	-0.53	8.0
0.900	4950.	4.523	-0.41	8.0
0.950	5116.	4.491	-0.29	8.0
1.000	5265.	4.460	-0.19	8.0
1.050	5420.	4.422	-0.08	8.0
1.100	5568.	4.386	0.02	8.0
1.150	5721.	4.354	0.12	8.0
1.200	5882.	4.326	0.22	8.0
1.300	6229.	4.286	0.39	8.0
1.400	6640.	4.275	0.54	8.0
0.030	1817.	4.756	-3.86	8.1
0.040	2170.	4.848	-3.52	8.1
0.050	2434.	4.900	-3.27	8.1
0.055	2532.	4.919	-3.18	8.1
0.060	2616.	4.932	-3.10	8.1
0.070	2748.	4.952	-2.97	8.1
0.072	2770.	4.954	-2.94	8.1
0.075	2802.	4.957	-2.91	8.1
0.080	2844.	4.964	-2.86	8.1
0.090	2919.	4.972	-2.77	8.1
0.100	2982.	4.972	-2.69	8.1
0.110	3030.	4.976	-2.62	8.1
0.130	3115.	4.971	-2.50	8.1
0.150	3191.	4.972	-2.40	8.1
0.175	3251.	4.966	-2.29	8.1
0.200	3298.	4.955	-2.20	8.1
0.250	3374.	4.938	-2.04	8.1
0.300	3429.	4.923	-1.92	8.1
0.350	3477.	4.902	-1.81	8.1
0.400	3533.	4.872	-1.69	8.1
0.450	3602.	4.836	-1.57	8.1
0.500	3687.	4.789	-1.44	8.1
0.570	3883.	4.730	-1.23	8.1
0.600	3962.	4.715	-1.16	8.1
0.620	4007.	4.705	-1.12	8.1
0.700	4225.	4.650	-0.92	8.1
0.750	4423.	4.622	-0.78	8.1
0.800	4604.	4.589	-0.65	8.1
0.850	4772.	4.554	-0.53	8.1
0.900	4952.	4.521	-0.40	8.1
0.950	5114.	4.490	-0.29	8.1
1.000	5271.	4.457	-0.18	8.1
1.050	5426.	4.420	-0.08	8.1
1.100	5580.	4.385	0.03	8.1
1.150	5731.	4.352	0.13	8.1
1.200	5888.	4.325	0.22	8.1
1.300	6232.	4.285	0.39	8.1
1.400	6642.	4.275	0.55	8.1
0.030	1712.	4.784	-3.99	8.2
0.040	2061.	4.888	-3.65	8.2
0.050	2343.	4.948	-3.39	8.2
0.055	2458.	4.968	-3.28	8.2
0.060	2549.	4.985	-3.20	8.2
0.070	2698.	5.006	-3.05	8.2
0.072	2719.	5.013	-3.03	8.2
0.075	2754.	5.017	-3.00	8.2
0.080	2807.	5.021	-2.94	8.2
0.090	2890.	5.029	-2.85	8.2
0.100	2957.	5.030	-2.76	8.2
0.110	3011.	5.034	-2.69	8.2
0.130	3097.	5.029	-2.57	8.2
0.150	3180.	5.025	-2.45	8.2
0.175	3246.	5.014	-2.34	8.2
0.200	3297.	5.004	-2.25	8.2
0.250	3374.	4.978	-2.08	8.2
0.300	3433.	4.958	-1.95	8.2
0.350	3482.	4.936	-1.84	8.2
0.400	3539.	4.901	-1.72	8.2
0.450	3611.	4.860	-1.59	8.2
0.500	3691.	4.808	-1.46	8.2
0.570	3834.	4.752	-1.28	8.2
0.600	3912.	4.728	-1.20	8.2
0.620	3968.	4.712	-1.14	8.2
0.700	4220.	4.648	-0.92	8.2
0.750	4419.	4.620	-0.78	8.2
0.800	4604.	4.587	-0.65	8.2
0.850	4774.	4.552	-0.52	8.2
0.900	4953.	4.520	-0.40	8.2
0.950	5114.	4.489	-0.29	8.2
1.000	5283.	4.455	-0.18	8.2
1.050	5435.	4.419	-0.07	8.2
1.100	5585.	4.383	0.03	8.2
1.150	5733.	4.352	0.13	8.2
1.200	5893.	4.324	0.22	8.2
1.300	6232.	4.284	0.39	8.2
1.400	6642.	4.272	0.55	8.2
0.040	1959.	4.921	-3.77	8.3
0.050	2240.	4.993	-3.51	8.3
0.055	2365.	5.015	-3.39	8.3
0.060	2473.	5.033	-3.30	8.3
0.070	2636.	5.059	-3.15	8.3
0.072	2660.	5.066	-3.12	8.3
0.075	2700.	5.071	-3.09	8.3
0.080	2759.	5.075	-3.02	8.3
0.090	2853.	5.085	-2.93	8.3
0.100	2929.	5.087	-2.84	8.3
0.110	2990.	5.087	-2.76	8.3
0.130	3082.	5.082	-2.63	8.3
0.150	3167.	5.073	-2.51	8.3
0.175	3241.	5.053	-2.38	8.3
0.200	3294.	5.039	-2.28	8.3
0.250	3374.	5.007	-2.11	8.3
0.300	3436.	4.979	-1.97	8.3
0.350	3483.	4.955	-1.86	8.3
0.400	3538.	4.918	-1.74	8.3
0.450	3607.	4.871	-1.60	8.3
0.500	3676.	4.820	-1.47	8.3
0.570	3819.	4.753	-1.28	8.3
0.600	3897.	4.725	-1.20	8.3
0.620	3958.	4.708	-1.14	8.3
0.700	4215.	4.646	-0.92	8.3
0.750	4419.	4.618	-0.78	8.3
0.800	4604.	4.586	-0.65	8.3
0.850	4774.	4.550	-0.52	8.3
0.900	4951.	4.518	-0.40	8.3
0.950	5120.	4.487	-0.29	8.3
1.000	5286.	4.454	-0.18	8.3
1.050	5439.	4.417	-0.07	8.3
1.100	5586.	4.382	0.03	8.3
1.150	5737.	4.350	0.13	8.3
1.200	5897.	4.322	0.22	8.3
1.300	6233.	4.282	0.40	8.3
1.400	6642.	4.269	0.55	8.3
0.040	1844.	4.954	-3.90	8.4
0.050	2140.	5.030	-3.63	8.4
0.055	2262.	5.060	-3.52	8.4
0.060	2380.	5.080	-3.41	8.4
0.070	2565.	5.111	-3.25	8.4
0.072	2598.	5.114	-3.21	8.4
0.075	2636.	5.124	-3.18	8.4
0.080	2705.	5.129	-3.11	8.4
0.090	2814.	5.136	-3.00	8.4
0.100	2899.	5.139	-2.91	8.4
0.110	2968.	5.134	-2.82	8.4
0.130	3070.	5.120	-2.67	8.4
0.150	3159.	5.102	-2.54	8.4
0.175	3237.	5.079	-2.41	8.4
0.200	3292.	5.057	-2.30	8.4
0.250	3374.	5.019	-2.12	8.4
0.300	3436.	4.989	-1.98	8.4
0.350	3482.	4.960	-1.86	8.4
0.400	3534.	4.922	-1.74	8.4
0.450	3599.	4.875	-1.61	8.4
0.500	3664.	4.821	-1.48	8.4
0.570	3808.	4.749	-1.29	8.4
0.600	3892.	4.723	-1.20	8.4
0.620	3956.	4.708	-1.14	8.4
0.700	4213.	4.644	-0.92	8.4
0.750	4419.	4.616	-0.78	8.4
0.800	4604.	4.585	-0.64	8.4
0.850	4774.	4.549	-0.52	8.4
0.900	4951.	4.517	-0.40	8.4
0.950	5125.	4.484	-0.28	8.4
1.000	5289.	4.452	-0.17	8.4
1.050	5440.	4.416	-0.07	8.4
1.100	5589.	4.380	0.03	8.4
1.150	5739.	4.349	0.13	8.4
1.200	5899.	4.320	0.23	8.4
1.300	6232.	4.278	0.40	8.4
1.400	6640.	4.266	0.55	8.4
0.040	1728.	4.982	-4.05	8.5
0.050	2029.	5.068	-3.76	8.5
0.055	2163.	5.098	-3.63	8.5
0.060	2284.	5.122	-3.52	8.5
0.070	2485.	5.159	-3.35	8.5
0.072	2523.	5.163	-3.31	8.5
0.075	2574.	5.168	-3.27	8.5
0.080	2645.	5.177	-3.20	8.5
0.090	2773.	5.181	-3.07	8.5
0.100	2869.	5.181	-2.97	8.5
0.110	2948.	5.172	-2.87	8.5
0.130	3062.	5.145	-2.70	8.5
0.150	3153.	5.122	-2.57	8.5
0.175	3235.	5.093	-2.43	8.5
0.200	3291.	5.066	-2.31	8.5
0.250	3373.	5.025	-2.13	8.5
0.300	3437.	4.992	-1.99	8.5
0.350	3480.	4.959	-1.86	8.5
0.400	3531.	4.920	-1.74	8.5
0.450	3594.	4.873	-1.61	8.5
0.500	3658.	4.818	-1.48	8.5
0.570	3804.	4.748	-1.29	8.5
0.600	3888.	4.722	-1.20	8.5
0.620	3950.	4.705	-1.14	8.5
0.700	4213.	4.642	-0.91	8.5
0.750	4419.	4.615	-0.77	8.5
0.800	4603.	4.583	-0.64	8.5
0.850	4774.	4.548	-0.52	8.5
0.900	4951.	4.515	-0.40	8.5
0.950	5127.	4.483	-0.28	8.5
1.000	5292.	4.451	-0.17	8.5
1.050	5443.	4.414	-0.07	8.5
1.100	5590.	4.378	0.04	8.5
1.150	5742.	4.345	0.14	8.5
1.200	5902.	4.318	0.23	8.5
1.300	6230.	4.274	0.40	8.5
1.400	6633.	4.261	0.56	8.5
0.050	1923.	5.098	-3.88	8.6
0.055	2050.	5.135	-3.76	8.6
0.060	2176.	5.162	-3.65	8.6
0.070	2396.	5.202	-3.45	8.6
0.072	2439.	5.206	-3.41	8.6
0.075	2500.	5.212	-3.36	8.6
0.080	2582.	5.221	-3.29	8.6
0.090	2730.	5.221	-3.14	8.6
0.100	2845.	5.212	-3.01	8.6
0.110	2934.	5.195	-2.90	8.6
0.130	3057.	5.160	-2.72	8.6
0.150	3150.	5.130	-2.58	8.6
0.175	3234.	5.097	-2.43	8.6
0.200	3290.	5.070	-2.32	8.6
0.250	3373.	5.026	-2.13	8.6
0.300	3437.	4.993	-1.99	8.6
0.350	3479.	4.954	-1.86	8.6
0.400	3529.	4.916	-1.74	8.6
0.450	3589.	4.869	-1.61	8.6
0.500	3656.	4.817	-1.48	8.6
0.570	3801.	4.746	-1.29	8.6
0.600	3886.	4.720	-1.20	8.6
0.620	3949.	4.704	-1.14	8.6
0.700	4213.	4.641	-0.91	8.6
0.750	4419.	4.614	-0.77	8.6
0.800	4602.	4.582	-0.64	8.6
0.850	4773.	4.546	-0.52	8.6
0.900	4951.	4.514	-0.40	8.6
0.950	5127.	4.482	-0.28	8.6
1.000	5293.	4.448	-0.17	8.6
1.050	5444.	4.411	-0.06	8.6
1.100	5591.	4.376	0.04	8.6
1.150	5744.	4.343	0.14	8.6
1.200	5905.	4.314	0.23	8.6
1.300	6230.	4.271	0.41	8.6
1.400	6621.	4.253	0.56	8.6
0.050	1805.	5.127	-4.02	8.7
0.055	1944.	5.165	-3.89	8.7
0.060	2072.	5.196	-3.77	8.7
0.070	2308.	5.239	-3.56	8.7
0.072	2355.	5.244	-3.51	8.7
0.075	2419.	5.250	-3.46	8.7
0.080	2522.	5.257	-3.36	8.7
0.090	2695.	5.251	-3.19	8.7
0.100	2828.	5.231	-3.04	8.7
0.110	2926.	5.209	-2.92	8.7
0.130	3055.	5.167	-2.73	8.7
0.150	3149.	5.133	-2.58	8.7
0.175	3234.	5.099	-2.43	8.7
0.200	3290.	5.070	-2.32	8.7
0.250	3373.	5.026	-2.13	8.7
0.300	3437.	4.993	-1.99	8.7
0.350	3478.	4.950	-1.86	8.7
0.400	3526.	4.912	-1.74	8.7
0.450	3587.	4.866	-1.61	8.7
0.500	3653.	4.814	-1.48	8.7
0.570	3799.	4.745	-1.29	8.7
0.600	3885.	4.719	-1.20	8.7
0.620	3948.	4.703	-1.14	8.7
0.700	4211.	4.639	-0.91	8.7
0.750	4418.	4.613	-0.77	8.7
0.800	4600.	4.580	-0.64	8.7
0.850	4773.	4.545	-0.52	8.7
0.900	4951.	4.512	-0.39	8.7
0.950	5130.	4.480	-0.28	8.7
1.000	5294.	4.446	-0.17	8.7
1.050	5446.	4.409	-0.06	8.7
1.100	5595.	4.372	0.04	8.7
1.150	5745.	4.340	0.14	8.7
1.200	5909.	4.310	0.24	8.7
1.300	6227.	4.265	0.41	8.7
1.400	6613.	4.245	0.57	8.7
0.055	1826.	5.194	-4.02	8.8
0.060	1956.	5.229	-3.90	8.8
0.070	2219.	5.273	-3.66	8.8
0.072	2266.	5.279	-3.62	8.8
0.075	2342.	5.284	-3.55	8.8
0.080	2461.	5.287	-3.44	8.8
0.090	2672.	5.269	-3.22	8.8
0.100	2818.	5.243	-3.06	8.8
0.110	2921.	5.215	-2.93	8.8
0.130	3054.	5.169	-2.73	8.8
0.150	3149.	5.134	-2.58	8.8
0.175	3234.	5.099	-2.43	8.8
0.200	3290.	5.071	-2.32	8.8
0.250	3373.	5.026	-2.13	8.8
0.300	3437.	4.992	-1.99	8.8
0.350	3477.	4.946	-1.85	8.8
0.400	3525.	4.908	-1.73	8.8
0.450	3585.	4.864	-1.61	8.8
0.500	3651.	4.813	-1.48	8.8
0.570	3798.	4.743	-1.28	8.8
0.600	3885.	4.717	-1.20	8.8
0.620	3949.	4.701	-1.14	8.8
0.700	4210.	4.638	-0.91	8.8
0.750	4417.	4.611	-0.77	8.8
0.800	4600.	4.579	-0.64	8.8
0.850	4774.	4.543	-0.51	8.8
0.900	4952.	4.510	-0.39	8.8
0.950	5131.	4.478	-0.27	8.8
1.000	5297.	4.444	-0.16	8.8
1.050	5448.	4.406	-0.06	8.8
1.100	5596.	4.368	0.05	8.8
1.150	5748.	4.335	0.15	8.8
1.200	5913.	4.304	0.25	8.8
1.300	6223.	4.256	0.42	8.8
1.400	6602.	4.234	0.58	8.8
0.055	1708.	5.221	-4.17	8.9
0.060	1848.	5.256	-4.03	8.9
0.070	2124.	5.304	-3.77	8.9
0.072	2184.	5.308	-3.71	8.9
0.075	2272.	5.311	-3.63	8.9
0.080	2414.	5.308	-3.49	8.9
0.090	2654.	5.282	-3.25	8.9
0.100	2813.	5.249	-3.07	8.9
0.110	2920.	5.218	-2.93	8.9
0.130	3054.	5.170	-2.73	8.9
0.150	3149.	5.134	-2.58	8.9
0.175	3234.	5.099	-2.43	8.9
0.200	3290.	5.071	-2.32	8.9
0.250	3373.	5.026	-2.13	8.9
0.300	3437.	4.992	-1.99	8.9
0.350	3481.	4.958	-1.86	8.9
0.400	3523.	4.904	-1.73	8.9
0.450	3583.	4.862	-1.61	8.9
0.500	3650.	4.811	-1.48	8.9
0.570	3798.	4.742	-1.28	8.9
0.600	3884.	4.716	-1.20	8.9
0.620	3947.	4.700	-1.14	8.9
0.700	4209.	4.637	-0.91	8.9
0.750	4417.	4.609	-0.77	8.9
0.800	4600.	4.577	-0.64	8.9
0.850	4775.	4.541	-0.51	8.9
0.900	4955.	4.508	-0.39	8.9
0.950	5133.	4.475	-0.27	8.9
1.000	5300.	4.441	-0.16	8.9
1.050	5451.	4.402	-0.05	8.9
1.100	5600.	4.364	0.06	8.9
1.150	5750.	4.329	0.16	8.9
1.200	5920.	4.297	0.26	8.9
1.300	6220.	4.247	0.43	8.9
1.400	6583.	4.220	0.58	8.9
0.060	1739.	5.280	-4.16	9.0
0.070	2038.	5.329	-3.86	9.0
0.072	2108.	5.332	-3.79	9.0
0.075	2211.	5.333	-3.70	9.0
0.080	2374.	5.325	-3.54	9.0
0.090	2645.	5.289	-3.26	9.0
0.100	2811.	5.250	-3.07	9.0
0.110	2919.	5.219	-2.93	9.0
0.130	3054.	5.170	-2.73	9.0
0.150	3149.	5.134	-2.58	9.0
0.175	3234.	5.099	-2.43	9.0
0.200	3290.	5.070	-2.32	9.0
0.250	3374.	5.026	-2.13	9.0
0.300	3437.	4.991	-1.98	9.0
0.350	3478.	4.950	-1.86	9.0
0.400	3522.	4.901	-1.73	9.0
0.450	3583.	4.860	-1.61	9.0
0.500	3649.	4.810	-1.48	9.0
0.570	3798.	4.741	-1.28	9.0
0.600	3883.	4.715	-1.20	9.0
0.620	3946.	4.698	-1.14	9.0
0.700	4209.	4.635	-0.91	9.0
0.750	4418.	4.608	-0.77	9.0
0.800	4603.	4.575	-0.64	9.0
0.850	4777.	4.539	-0.51	9.0
0.900	4958.	4.506	-0.39	9.0
0.950	5138.	4.472	-0.27	9.0
1.000	5304.	4.436	-0.15	9.0
1.050	5456.	4.396	-0.04	9.0
1.100	5604.	4.358	0.06	9.0
1.150	5754.	4.322	0.16	9.0
1.200	5928.	4.288	0.27	9.0
1.300	6213.	4.235	0.44	9.0
1.400	6554.	4.199	0.60	9.0
0.070	1952.	5.351	-3.96	9.1
0.072	2028.	5.354	-3.88	9.1
0.075	2149.	5.353	-3.76	9.1
0.080	2347.	5.337	-3.57	9.1
0.090	2641.	5.292	-3.27	9.1
0.100	2811.	5.251	-3.07	9.1
0.110	2919.	5.219	-2.93	9.1
0.130	3054.	5.170	-2.73	9.1
0.150	3149.	5.134	-2.58	9.1
0.175	3234.	5.099	-2.43	9.1
0.200	3290.	5.070	-2.32	9.1
0.250	3374.	5.025	-2.13	9.1
0.300	3437.	4.989	-1.98	9.1
0.350	3480.	4.955	-1.86	9.1
0.400	3521.	4.899	-1.73	9.1
0.450	3582.	4.858	-1.60	9.1
0.500	3649.	4.808	-1.48	9.1
0.570	3798.	4.740	-1.28	9.1
0.600	3883.	4.713	-1.19	9.1
0.620	3946.	4.697	-1.14	9.1
0.700	4210.	4.634	-0.91	9.1
0.750	4420.	4.606	-0.77	9.1
0.800	4606.	4.573	-0.63	9.1
0.850	4781.	4.536	-0.50	9.1
0.900	4962.	4.503	-0.38	9.1
0.950	5144.	4.469	-0.26	9.1
1.000	5310.	4.431	-0.15	9.1
1.050	5463.	4.390	-0.03	9.1
1.100	5610.	4.349	0.07	9.1
1.150	5760.	4.313	0.17	9.1
1.200	5939.	4.275	0.28	9.1
1.300	6209.	4.220	0.45	9.1
1.400	6513.	4.174	0.61	9.1
0.070	1874.	5.370	-4.05	9.2
0.072	1961.	5.371	-3.96	9.2
0.075	2102.	5.366	-3.82	9.2
0.080	2329.	5.344	-3.59	9.2
0.090	2640.	5.292	-3.27	9.2
0.100	2811.	5.251	-3.07	9.2
0.110	2919.	5.219	-2.93	9.2
0.130	3054.	5.170	-2.73	9.2
0.150	3149.	5.134	-2.58	9.2
0.175	3234.	5.099	-2.43	9.2
0.200	3290.	5.070	-2.32	9.2
0.250	3374.	5.025	-2.13	9.2
0.300	3437.	4.987	-1.98	9.2
0.350	3479.	4.950	-1.86	9.2
0.400	3521.	4.897	-1.72	9.2
0.450	3582.	4.857	-1.60	9.2
0.500	3648.	4.807	-1.47	9.2
0.570	3797.	4.738	-1.28	9.2
0.600	3883.	4.712	-1.19	9.2
0.620	3946.	4.695	-1.13	9.2
0.700	4212.	4.632	-0.90	9.2
0.750	4423.	4.604	-0.76	9.2
0.800	4609.	4.571	-0.63	9.2
0.850	4785.	4.533	-0.50	9.2
0.900	4969.	4.499	-0.37	9.2
0.950	5151.	4.463	-0.25	9.2
1.000	5319.	4.424	-0.14	9.2
1.050	5470.	4.382	-0.02	9.2
1.100	5618.	4.339	0.09	9.2
1.150	5768.	4.299	0.19	9.2
1.200	5951.	4.259	0.30	9.2
1.300	6194.	4.196	0.47	9.2
1.400	6477.	4.140	0.64	9.2
0.070	1801.	5.386	-4.14	9.3
0.072	1900.	5.386	-4.03	9.3
0.075	2065.	5.376	-3.86	9.3
0.080	2318.	5.347	-3.60	9.3
0.090	2639.	5.292	-3.27	9.3
0.100	2811.	5.251	-3.07	9.3
0.110	2920.	5.219	-2.93	9.3
0.130	3054.	5.170	-2.73	9.3
0.150	3150.	5.134	-2.58	9.3
0.175	3234.	5.099	-2.43	9.3
0.200	3291.	5.070	-2.32	9.3
0.250	3374.	5.023	-2.13	9.3
0.300	3437.	4.985	-1.98	9.3
0.350	3478.	4.948	-1.85	9.3
0.400	3521.	4.896	-1.72	9.3
0.450	3582.	4.855	-1.60	9.3
0.500	3648.	4.805	-1.47	9.3
0.570	3797.	4.736	-1.28	9.3
0.600	3883.	4.710	-1.19	9.3
0.620	3948.	4.694	-1.13	9.3
0.700	4215.	4.630	-0.90	9.3
0.750	4427.	4.602	-0.76	9.3
0.800	4614.	4.568	-0.62	9.3
0.850	4792.	4.529	-0.49	9.3
0.900	4977.	4.494	-0.37	9.3
0.950	5162.	4.457	-0.24	9.3
1.000	5328.	4.416	-0.12	9.3
1.050	5480.	4.371	-0.01	9.3
1.100	5629.	4.325	0.10	9.3
1.150	5777.	4.282	0.21	9.3
1.200	5965.	4.236	0.33	9.3
1.300	6177.	4.165	0.50	9.3
1.400	6311.	4.072	0.66	9.3
0.070	1732.	5.401	-4.22	9.4
0.072	1850.	5.397	-4.09	9.4
0.075	2038.	5.384	-3.89	9.4
0.080	2314.	5.350	-3.60	9.4
0.090	2640.	5.293	-3.27	9.4
0.100	2811.	5.251	-3.07	9.4
0.110	2920.	5.219	-2.93	9.4
0.130	3054.	5.170	-2.73	9.4
0.150	3150.	5.134	-2.58	9.4
0.175	3234.	5.099	-2.43	9.4
0.200	3291.	5.070	-2.31	9.4
0.250	3374.	5.022	-2.13	9.4
0.300	3437.	4.981	-1.97	9.4
0.350	3477.	4.944	-1.85	9.4
0.400	3521.	4.894	-1.72	9.4
0.450	3581.	4.853	-1.60	9.4
0.500	3648.	4.803	-1.47	9.4
0.570	3798.	4.734	-1.28	9.4
0.600	3885.	4.708	-1.19	9.4
0.620	3949.	4.692	-1.13	9.4
0.700	4219.	4.628	-0.90	9.4
0.750	4432.	4.599	-0.75	9.4
0.800	4621.	4.564	-0.62	9.4
0.850	4800.	4.524	-0.49	9.4
0.900	4989.	4.488	-0.36	9.4
0.950	5174.	4.449	-0.23	9.4
1.000	5341.	4.405	-0.11	9.4
1.050	5493.	4.355	0.01	9.4
1.100	5642.	4.307	0.12	9.4
1.150	5788.	4.260	0.24	9.4
1.200	5966.	4.203	0.36	9.4
1.300	6100.	4.115	0.52	9.4
1.400	5966.	3.958	0.68	9.4
0.072	1806.	5.407	-4.14	9.5
0.075	2019.	5.389	-3.91	9.5
0.080	2313.	5.350	-3.61	9.5
0.090	2640.	5.292	-3.27	9.5
0.100	2811.	5.251	-3.07	9.5
0.110	2920.	5.219	-2.93	9.5
0.130	3054.	5.170	-2.73	9.5
0.150	3150.	5.134	-2.58	9.5
0.175	3234.	5.098	-2.43	9.5
0.200	3291.	5.069	-2.31	9.5
0.250	3374.	5.019	-2.12	9.5
0.300	3436.	4.976	-1.97	9.5
0.350	3477.	4.941	-1.85	9.5
0.400	3521.	4.893	-1.72	9.5
0.450	3581.	4.851	-1.60	9.5
0.500	3648.	4.802	-1.47	9.5
0.570	3799.	4.733	-1.27	9.5
0.600	3887.	4.706	-1.19	9.5
0.620	3952.	4.690	-1.13	9.5
0.700	4224.	4.625	-0.89	9.5
0.750	4439.	4.596	-0.75	9.5
0.800	4629.	4.559	-0.61	9.5
0.850	4811.	4.518	-0.48	9.5
0.900	5003.	4.480	-0.34	9.5
