mass	Teff	logg	logL	Age
0.200	3162.	3.671	-0.99	6.3
0.250	3245.	3.681	-0.85	6.3
0.300	3313.	3.688	-0.75	6.3
0.350	3369.	3.694	-0.66	6.3
0.400	3416.	3.697	-0.58	6.3
0.450	3460.	3.700	-0.51	6.3
0.500	3497.	3.707	-0.45	6.3
0.570	3552.	3.709	-0.37	6.3
0.600	3574.	3.714	-0.34	6.3
0.620	3588.	3.713	-0.32	6.3
0.700	3645.	3.720	-0.24	6.3
0.750	3679.	3.727	-0.20	6.3
0.800	3711.	3.733	-0.17	6.3
0.850	3745.	3.732	-0.12	6.3
0.900	3780.	3.757	-0.11	6.3
0.950	3807.	3.739	-0.05	6.3
1.000	3842.	3.753	-0.03	6.3
1.050	3873.	3.747	0.01	6.3
1.100	3910.	3.753	0.04	6.3
1.150	3998.	3.759	0.09	6.3
1.200	4048.	3.770	0.12	6.3
1.300	4136.	3.784	0.18	6.3
1.400	4211.	3.790	0.24	6.3
0.020	2513.	3.893	-2.61	6.4
0.030	2704.	3.791	-2.20	6.4
0.040	2793.	3.717	-1.95	6.4
0.050	2845.	3.671	-1.77	6.4
0.055	2865.	3.655	-1.70	6.4
0.060	2886.	3.645	-1.64	6.4
0.070	2923.	3.635	-1.54	6.4
0.072	2930.	3.636	-1.53	6.4
0.075	2940.	3.637	-1.50	6.4
0.080	2957.	3.644	-1.47	6.4
0.090	2991.	3.669	-1.43	6.4
0.100	3012.	3.688	-1.39	6.4
0.110	3028.	3.698	-1.35	6.4
0.130	3058.	3.716	-1.28	6.4
0.150	3092.	3.731	-1.21	6.4
0.175	3128.	3.739	-1.13	6.4
0.200	3167.	3.746	-1.06	6.4
0.250	3252.	3.755	-0.92	6.4
0.300	3327.	3.763	-0.81	6.4
0.350	3384.	3.764	-0.72	6.4
0.400	3432.	3.767	-0.64	6.4
0.450	3475.	3.770	-0.57	6.4
0.500	3513.	3.772	-0.51	6.4
0.570	3567.	3.780	-0.43	6.4
0.600	3587.	3.780	-0.40	6.4
0.620	3600.	3.784	-0.38	6.4
0.700	3657.	3.786	-0.30	6.4
0.750	3689.	3.793	-0.27	6.4
0.800	3722.	3.795	-0.22	6.4
0.850	3757.	3.799	-0.19	6.4
0.900	3789.	3.815	-0.16	6.4
0.950	3819.	3.806	-0.12	6.4
1.000	3854.	3.815	-0.09	6.4
1.050	3883.	3.810	-0.05	6.4
1.100	3943.	3.815	-0.01	6.4
1.150	4018.	3.826	0.04	6.4
1.200	4063.	3.832	0.07	6.4
1.300	4147.	3.845	0.12	6.4
1.400	4220.	3.851	0.18	6.4
0.020	2508.	3.908	-2.62	6.5
0.030	2703.	3.799	-2.21	6.5
0.040	2791.	3.735	-1.97	6.5
0.050	2846.	3.705	-1.80	6.5
0.055	2867.	3.702	-1.75	6.5
0.060	2887.	3.707	-1.70	6.5
0.070	2928.	3.735	-1.64	6.5
0.072	2936.	3.742	-1.63	6.5
0.075	2948.	3.749	-1.61	6.5
0.080	2970.	3.758	-1.58	6.5
0.090	3006.	3.776	-1.52	6.5
0.100	3026.	3.787	-1.48	6.5
0.110	3045.	3.797	-1.44	6.5
0.130	3078.	3.806	-1.35	6.5
0.150	3108.	3.816	-1.29	6.5
0.175	3140.	3.820	-1.20	6.5
0.200	3178.	3.825	-1.13	6.5
0.250	3259.	3.829	-0.99	6.5
0.300	3336.	3.837	-0.88	6.5
0.350	3395.	3.838	-0.79	6.5
0.400	3445.	3.841	-0.71	6.5
0.450	3486.	3.844	-0.64	6.5
0.500	3525.	3.842	-0.57	6.5
0.570	3578.	3.845	-0.49	6.5
0.600	3597.	3.850	-0.46	6.5
0.620	3611.	3.849	-0.44	6.5
0.700	3667.	3.857	-0.37	6.5
0.750	3697.	3.859	-0.33	6.5
0.800	3733.	3.861	-0.29	6.5
0.850	3766.	3.865	-0.25	6.5
0.900	3798.	3.877	-0.22	6.5
0.950	3831.	3.868	-0.17	6.5
1.000	3865.	3.877	-0.14	6.5
1.050	3896.	3.877	-0.11	6.5
1.100	3984.	3.882	-0.06	6.5
1.150	4036.	3.889	-0.02	6.5
1.200	4079.	3.898	0.01	6.5
1.300	4160.	3.906	0.07	6.5
1.400	4234.	3.907	0.13	6.5
0.020	2506.	3.917	-2.64	6.6
0.030	2701.	3.813	-2.23	6.6
0.040	2789.	3.770	-2.00	6.6
0.050	2846.	3.780	-1.88	6.6
0.055	2869.	3.803	-1.85	6.6
0.060	2889.	3.824	-1.82	6.6
0.070	2938.	3.848	-1.75	6.6
0.072	2948.	3.853	-1.73	6.6
0.075	2965.	3.860	-1.71	6.6
0.080	2992.	3.865	-1.67	6.6
0.090	3021.	3.878	-1.62	6.6
0.100	3044.	3.885	-1.57	6.6
0.110	3065.	3.886	-1.51	6.6
0.130	3103.	3.891	-1.42	6.6
0.150	3130.	3.897	-1.35	6.6
0.175	3161.	3.896	-1.27	6.6
0.200	3197.	3.901	-1.20	6.6
0.250	3270.	3.904	-1.06	6.6
0.300	3340.	3.911	-0.95	6.6
0.350	3400.	3.912	-0.86	6.6
0.400	3452.	3.911	-0.77	6.6
0.450	3492.	3.914	-0.70	6.6
0.500	3533.	3.916	-0.64	6.6
0.570	3584.	3.915	-0.56	6.6
0.600	3603.	3.915	-0.53	6.6
0.620	3619.	3.919	-0.51	6.6
0.700	3674.	3.923	-0.43	6.6
0.750	3703.	3.925	-0.39	6.6
0.800	3739.	3.927	-0.35	6.6
0.850	3773.	3.931	-0.31	6.6
0.900	3806.	3.943	-0.28	6.6
0.950	3841.	3.934	-0.23	6.6
1.000	3877.	3.939	-0.20	6.6
1.050	3928.	3.939	-0.16	6.6
1.100	4014.	3.949	-0.11	6.6
1.150	4056.	3.952	-0.07	6.6
1.200	4098.	3.959	-0.04	6.6
1.300	4180.	3.965	0.02	6.6
1.400	4260.	3.963	0.08	6.6
0.020	2503.	3.925	-2.65	6.7
0.030	2698.	3.838	-2.25	6.7
0.040	2783.	3.843	-2.08	6.7
0.050	2841.	3.901	-2.00	6.7
0.055	2865.	3.918	-1.96	6.7
0.060	2889.	3.930	-1.92	6.7
0.070	2960.	3.950	-1.83	6.7
0.072	2977.	3.955	-1.82	6.7
0.075	3000.	3.957	-1.79	6.7
0.080	3014.	3.962	-1.76	6.7
0.090	3042.	3.970	-1.70	6.7
0.100	3068.	3.973	-1.64	6.7
0.110	3094.	3.975	-1.59	6.7
0.130	3130.	3.975	-1.49	6.7
0.150	3163.	3.977	-1.42	6.7
0.175	3198.	3.976	-1.33	6.7
0.200	3225.	3.977	-1.26	6.7
0.250	3287.	3.979	-1.13	6.7
0.300	3345.	3.980	-1.02	6.7
0.350	3402.	3.982	-0.93	6.7
0.400	3455.	3.980	-0.84	6.7
0.450	3495.	3.984	-0.77	6.7
0.500	3538.	3.986	-0.71	6.7
0.570	3588.	3.985	-0.62	6.7
0.600	3608.	3.985	-0.59	6.7
0.620	3623.	3.984	-0.57	6.7
0.700	3678.	3.988	-0.50	6.7
0.750	3709.	3.990	-0.45	6.7
0.800	3745.	3.992	-0.41	6.7
0.850	3779.	3.997	-0.37	6.7
0.900	3815.	4.004	-0.34	6.7
0.950	3852.	4.001	-0.30	6.7
1.000	3890.	4.005	-0.26	6.7
1.050	3977.	4.004	-0.20	6.7
1.100	4035.	4.011	-0.16	6.7
1.150	4078.	4.015	-0.13	6.7
1.200	4122.	4.018	-0.09	6.7
1.300	4209.	4.020	-0.02	6.7
1.400	4303.	4.014	0.05	6.7
0.020	2500.	3.935	-2.66	6.8
0.030	2691.	3.883	-2.30	6.8
0.040	2772.	3.966	-2.21	6.8
0.050	2833.	4.006	-2.11	6.8
0.055	2860.	4.019	-2.07	6.8
0.060	2885.	4.026	-2.02	6.8
0.070	2979.	4.043	-1.92	6.8
0.072	2998.	4.048	-1.90	6.8
0.075	3010.	4.050	-1.88	6.8
0.080	3026.	4.055	-1.84	6.8
0.090	3055.	4.058	-1.78	6.8
0.100	3080.	4.061	-1.72	6.8
0.110	3105.	4.058	-1.66	6.8
0.130	3143.	4.059	-1.57	6.8
0.150	3178.	4.056	-1.49	6.8
0.175	3212.	4.052	-1.40	6.8
0.200	3237.	4.052	-1.33	6.8
0.250	3292.	4.050	-1.20	6.8
0.300	3344.	4.050	-1.09	6.8
0.350	3399.	4.051	-1.00	6.8
0.400	3454.	4.054	-0.91	6.8
0.450	3500.	4.053	-0.84	6.8
0.500	3547.	4.051	-0.77	6.8
0.570	3598.	4.054	-0.69	6.8
0.600	3622.	4.055	-0.66	6.8
0.620	3637.	4.054	-0.63	6.8
0.700	3692.	4.058	-0.56	6.8
0.750	3729.	4.060	-0.51	6.8
0.800	3765.	4.062	-0.47	6.8
0.850	3798.	4.063	-0.43	6.8
0.900	3839.	4.070	-0.39	6.8
0.950	3875.	4.065	-0.35	6.8
1.000	3930.	4.066	-0.30	6.8
1.050	4009.	4.068	-0.25	6.8
1.100	4058.	4.074	-0.21	6.8
1.150	4108.	4.078	-0.18	6.8
1.200	4156.	4.076	-0.14	6.8
1.300	4261.	4.072	-0.06	6.8
1.400	4375.	4.057	0.04	6.8
0.020	2496.	3.947	-2.67	6.9
0.030	2672.	3.982	-2.41	6.9
