EPIC,Name_IAU,RAdeg,DEdeg,Other,Vmag_x,Ksmag_R16,(V-K)0,Per1,Per2,Per3,Per4,Ampl,LC,memb,Per_lit,vsini,Per_cat,dd,ddm,shch,beat,cpeak,resc,resd,dscu,cloud,Name_adopt,Ksmag_S16,(V-K),Mass,Mbol,Radius,Teff,Delmag,E(B-V),Object_name,Vmag_y,rmag,Icmag,Kmag,T_VI,T_VK,T_rK,T_IK,Period,A_r,R_o,Tspec,RV,EWHa,D_EWHa,TiO2n,D_TiO2n,TiO5n,D_TiO5n,Tquiet,fs1,Tspot1,fs2,Tspot2,multi,Flag,RAJ2000,DEJ2000
210994935.0,034226.28+225340.7,55.60953000000001,22.894660000000002,HCG75,14.45,10.72,3.62,4.2264,,,,0.022000000000000002,LC1,best,4.22,8.0,multi,yes,no,yes,yes,yes,no,no,no,no,HCG75,10.71,3.62,0.65,7.41,0.65,3864.0,-0.1,,Cl* Melotte 22 HCG 75,14.45,13.885,12.64,10.715,3982.46,3954.46,3946.19,3904.24,4.22234678,0.0421,0.1423,3951.66,5.3,1.3775,1.6677,0.9017,-0.0149,0.8232,-0.0153,3982.46,0.168,3270.0,0.11599999999999999,3425.0,0.0,1-1-1-1-1,55.609531000000004,22.894669
211078992.0,034226.28+241407.8,55.60951,24.23551,HCG73,,12.34,5.21,0.9519,,,,0.075,LC1,best,,,single,no,no,no,no,no,no,no,no,no,HCG73,12.33,5.21,0.33,9.22,0.42,3184.0,-0.01,,Cl* Melotte 22 HCG 73,17.83,99.0,15.03,12.343,3181.38,3098.59,,2993.83,,,,3153.15,3.81,6.7259,6.4735,0.5609,-0.0595,0.4041,-0.0182,3181.38,0.531,2775.0,0.24100000000000002,2845.0,-1.0,1-1-1-1-1,55.609512,24.235518
210974364.0,034227.30+223424.8,55.61376,22.57357,HCG76,,11.86,5.19,1.9793,1.5247,,,0.022000000000000002,LC1,best,,,multi,no,no,no,yes,no,yes,no,no,no,HCG76,11.85,5.19,0.34,8.73,0.52,3191.0,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210988354.0,034229.41+224726.1,55.622569999999996,22.7906,HCG77,15.16,10.92,4.13,0.325,,,,0.039,LC2,best,0.32,50.0,single,no,no,no,no,no,no,no,no,no,HCG77,10.91,4.13,0.56,7.7,0.66,3603.0,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210862226.0,034229.70+204840.0,55.62375,20.81113,DH229,,12.43,5.28,1.2913,,,,0.011000000000000001,LC1,best,,,single,no,no,no,no,no,no,no,no,no,DH229,12.42,5.28,0.32,9.31,0.41,3161.0,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211075627.0,034233.96+241100.8,55.6415,24.18356,DH231,,13.42,5.91,0.5641,,,,0.052000000000000005,LC1,best,,,single,no,no,no,no,no,no,no,no,no,DH231,13.41,5.91,0.19,10.34,0.28,2994.0,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211025007.0,034236.26+232204.8,55.651109999999996,23.36801,HCG79,17.6,12.32,5.17,1.551,,,,0.08900000000000001,LC2,best,1.55,,single,no,no,no,no,no,no,no,no,no,HCG79,12.31,5.17,0.35,9.19,0.42,3196.0,-0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211063744.0,034240.22+235921.7,55.667609999999996,23.98937,HCG80,15.75,11.14,4.5,0.2587,,,,0.033,LC1,best,0.26,69.0,single,no,no,no,no,no,no,no,no,no,HCG80,11.13,4.5,0.49,7.96,0.64,3440.0,0.24,,Cl* Melotte 22 HCG 80,15.72,15.245999999999999,13.29,11.137,3420.56,3453.76,3399.07,3515.9,,,,3436.76,10.95,4.9223,4.8335,0.7072,-0.026,0.551,0.0043,3420.56,0.262,2977.5,0.0,,0.0,1-2-1-1-1,55.667609999999996,23.989373999999998
211066186.0,034241.17+240142.9,55.67155,24.028589999999998,HCG82,,13.09,5.63,0.5634,,,,0.042,LC1,best,,,single,no,no,no,no,no,no,no,no,no,HCG82,13.08,5.63,0.22,9.99,0.32,3062.0,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211064722.0,034241.84+240015.7,55.674369999999996,24.004379999999998,BPL42,,12.71,5.19,0.6713,,,,0.016,LC3,best,0.67,,single,yes,no,no,no,no,no,no,no,no,BPL42,12.7,5.19,0.34,9.59,0.35,3188.0,-0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
