wl,id
0.9678200000000001,Ti I
0.9691528,Ti I
0.9708333,Ti I
0.9721622,Ti I
0.9731082,Ti I
0.9737231,Cr I
0.9741244000000001,Fe I
0.9746277,Ti I
0.9749595999999999,Ti I
0.9755765,Fe I
0.9766045,Fe I
0.9766579,Fe I
0.9772983000000001,Ti I
0.9786,Ti I
0.9786267,Ti I
0.9790378000000001,Ti I
0.9802999,Fe I
0.9834844000000001,Ti I
0.9864443000000002,Fe I
0.9891744,Fe I
0.9930072,Ti I
1.00007,Ti I
1.0005833,Ti I
1.0014491,Ti I
1.0037247999999999,Ti I
1.0039405000000001,Sr II
1.0051583,Ti I
1.0060489,Ti I
1.0062659999999999,Ti I
1.0067806000000001,Fe I
1.0116788,Fe I
1.0148349,Fe I
1.0157956,Fe I
1.0170261,Fe I
1.0196018,Ni I
1.0197901,Fe I
1.021915,Fe I
1.0221207,Fe I
1.0268037,Fe I
1.0291761000000001,Si I
1.0330141,Sr II
1.0333055,Ni I
1.0343722,Fe I
1.0346644,Ca I
1.0374111,Si I
1.0381445,Ni I
1.0381855,Fe I
1.0398643,Fe I
1.0399658999999999,Ti I
1.0425886999999998,Fe I
1.0426605,Fe I
1.0472530999999998,Fe I
1.0489107,Cr I
1.0498996999999999,Ti I
1.0535121,Fe I
1.0580062,Fe I
1.0587546,Ti I
1.0588038,Si I
1.0606332,Si I
1.0610631000000001,Ti I
1.0630562,Si I
1.0663891,Si I
1.066455,Ti I
1.0679972,Ti I
1.0692648999999999,Si I
1.0697178,Si I
1.0729326000000001,Ti I
1.073035,Si I
1.0735811000000002,Ti I
1.0752329999999999,Si I
1.075595,Fe I
1.0777825,Ti I
1.0786008999999999,Fe I
1.078751,Si I
1.0789813999999998,Si I
1.0814048,Mg I
1.0821258,Fe I
1.0830058999999999,Si I
1.0846822,Si I
1.0866494,Fe I
1.0871763,Si I
1.087252,Si I
1.0884745,Fe I
1.0885787,Si I
1.0887246000000002,Fe I
1.0888312,Si I
1.0899290000000001,Fe I
1.0908706,Cr I
1.0917865,Sr II
1.0956322,Mg I
1.096031,Mg I
1.0968448999999998,Mg I
1.0982313999999997,Si I
1.0982832,Ni I
1.0985065,Si I
1.0987538000000001,Si I
1.0990231000000001,Fe I
1.1018567,Cr I
1.1020985,Si I
1.1122839,Fe I
1.1199913000000001,Si I
1.1292921999999999,Si I
1.1301955,Si I
1.1313826,Cr I
1.1359061000000001,Fe I
1.1377194,Fe I
1.1384568000000002,Na I
1.1393868,Cr I
1.1401185,Cr I
1.1406901000000003,Na I
1.1425448999999999,Fe I
1.1468461,Fe I
1.1509821000000002,Fe I
1.1525393999999998,Mg I
1.1594684,Si I
1.1596761999999998,Fe I
1.161075,Fe I
1.1613738999999998,Cr I
1.1614278999999998,Si I
1.1641448,Fe I
1.1644164,Si I
1.1693174,Fe I
1.1693403999999998,K I
1.1772836000000002,K I
1.1776053,K I
1.178377,Ti I
1.1786489,Fe I
1.180041,Ti I
