Name	R.A. (J2000)	Decl. (J2000)	SpT
GY450	16 28 03.56	-24 34 38.63	M6
GY463	16 28 04.65	-24 34 56.15	
WSB60	16 28 16.51	-24 36 57.95	M4.5
SR20AB	16 28 32.68	-24 22 45.04	G7
GWAYL4	16 29 23.53	-24 13 57.09	
ROX9	16 30 35.53	-24 34 15.27	
16275-2638	16 30 35.71	-26 44 43.36	
ROX-42Cab	16 31 15.75	-24 34 02.21	K6
ROX-43A1	16 31 20.12	-24 30 05.03	G0
ROX-43A2	16 31 20.19	-24 30 00.73	G0
IRS-60	16 31 30.88	-24 24 39.88	K2
ROX-44	16 31 33.45	-24 27 37.11	K3
IRS-63	16 31 35.67	-24 01 29.3	K6
L1689SNO2	16 31 52.08	-24 56 15.64	M3
16289-2457	16 31 54.74	-25 03 23.82	G5
L1689SAB	16 32 01.01	-24 56 41.94	K5
ROX-47A	16 32 11.81	-24 40 21.3	M3
16293-2424	16 32 21.06	-24 30 35.82	G0
16330-2424	16 36 05.25	-24 30 37.81	
16126-2235AB			M3
DOAR16AB			K6
16225-2607			K7
VSSG27AB			K6
VSSG11AB			M0
VSSG3AB			K6
VSSG5AB			M0
GY156AB			
WL6AB			
IRS51AB			K6
GY371AB			M6
ROXs39			K6
