Name,OtherNames,SpType,r_SpType,Adopt,3.6mag,e_3.6mag,f_3.6mag,4.5mag,e_4.5mag,f_4.5mag,5.8mag,e_5.8mag,f_5.8mag,8.0mag,e_8.0mag,f_8.0mag,24mag,e_24mag,f_24mag,W1mag,e_W1mag,f_W1mag,W2mag,e_W2mag,f_W2mag,W3mag,e_W3mag,f_W3mag,W4mag,e_W4mag,f_W4mag,Exc4.5,Exc8.0,Exc24,ExcW2,ExcW3,ExcW4,DiskType
2MASS J16140211-2301021,,G4,4,G4,8.39,0.02,,8.43,0.02,,,,out,8.43,0.03,,8.25,0.05,,8.41,0.03,,8.42,0.02,,8.33,0.03,,8.24,0.31,,N,N,N,N,N,,
2MASS J16140514-2042017,,M6.5,2,M6.5,,,out,,,out,,,out,,,out,,,out,13.1,0.03,,12.84,0.03,,,,false,,,false,,,,N,,,
2MASS J16141107-2305362,,"K0,K2IV,K5","4,5,20",K2,6.85,0.02,,6.62,0.02,,,,out,5.64,0.03,,3.42,0.04,,7.32,0.03,,7.05,0.02,,5.0,0.02,,3.58,0.02,,Y,Y,Y,Y,Y,Y,full
2MASS J16141235-2219132,,M4.5,25,M4.5,,,out,,,out,,,out,,,out,,,out,10.48,0.03,,10.33,0.02,,10.26,0.08,,,,nodet,,,,N,N,,
2MASS J16141352-2244578,,"M4,M5","17,25",M4.5,,,out,,,out,,,out,,,out,,,out,11.28,0.03,,11.07,0.02,,10.94,0.13,,,,nodet,,,,N,N,,
2MASS J16141484-2427081,,M7,17,M7,11.06,0.02,,10.95,0.02,,10.96,0.03,,10.86,0.03,,10.49,0.12,,11.25,0.03,,10.96,0.02,,10.98,0.13,,,,nodet,N,N,N,N,N,,
2MASS J16141974-2428404,,M6,19,M6,12.33,0.02,,12.24,0.02,,12.19,0.03,,12.26,0.04,,,,nodet,12.47,0.03,,12.26,0.03,,,,false,,,nodet,N,N,,N,,,
2MASS J16142029-1906481,"RX J1614.3-1906,[T64] 7",M0,22,M0,6.46,0.02,,6.23,0.02,,5.58,0.03,,5.05,0.03,,1.86,0.04,,6.85,0.04,,6.1,0.02,,4.05,0.02,,2.12,0.02,,Y,Y,Y,Y,Y,Y,full
2MASS J16142144-2339146,,"A0,M7","7,25",M7,,,out,,,out,,,out,,,out,,,out,13.57,0.03,,12.99,0.04,,11.21,0.15,,,,false,,,,Y,Y,,full
2MASS J16142312-2219338,,M5.75,25,M5.75,,,out,,,out,,,out,,,out,,,out,10.32,0.03,,9.82,0.02,,8.1,0.03,,6.39,0.06,,,,,Y,Y,Y,full
