Name,OtherNames,SpType,r_SpType,Adopt,3.6mag,e_3.6mag,f_3.6mag,4.5mag,e_4.5mag,f_4.5mag,5.8mag,e_5.8mag,f_5.8mag,8.0mag,e_8.0mag,f_8.0mag,24mag,e_24mag,f_24mag,W1mag,e_W1mag,f_W1mag,W2mag,e_W2mag,f_W2mag,W3mag,e_W3mag,f_W3mag,W4mag,e_W4mag,f_W4mag,Exc4.5,Exc8.0,Exc24,ExcW2,ExcW3,ExcW4,DiskType
2MASS J16182082-2401502,,M5.5,2,M5.5,,,out,,,out,,,out,,,out,,,out,13.52,0.04,,13.2,0.05,,,,nodet,,,nodet,,,,N,,,
2MASS J16182501-2338106,,M5,19,M5,,,out,,,out,,,out,,,out,,,out,12.12,0.03,,11.86,0.03,,,,false,,,nodet,,,,N,,,
2MASS J16182825-2316274,"HD 146706,HIP 79897",B9V,1,B9V,,,out,6.98,0.02,,,,out,7.08,0.03,,6.95,0.04,,6.97,0.03,,6.99,0.02,,6.99,0.02,,6.85,0.07,,N,N,N,N,N,N,
2MASS J16183317-2517504,,"M6,M5+M5","16,34",M5,,,out,,,out,,,out,,,out,7.7,0.05,,10.85,0.03,,10.44,0.02,,9.15,0.05,,7.33,0.19,,,,Y,Y,Y,Y,evolved
2MASS J16183618-2425333,,M4,17,M4,,,out,,,out,,,out,,,out,,,out,10.79,0.02,,10.58,0.02,,10.56,0.13,,,,nodet,,,,N,N,,
2MASS J16183914-2135341,"HD 146743,HIP 79910","F3V,F4V","1,9","F3V,F4V",,,out,,,out,,,out,,,out,7.39,0.05,,7.46,0.03,,7.48,0.02,,7.46,0.02,,7.48,0.14,,,,N,N,N,N,
2MASS J16184074-2209482,,"M7,M6","16,2",M6,,,out,,,out,,,out,,,out,,,nodet,12.54,0.03,bl,12.23,0.03,bl,,,false,,,false,,,,N,,,
2MASS J16184955-2541499,,M5.5,2,M5.5,,,out,,,out,,,out,,,out,,,out,13.61,0.04,,13.38,0.07,,,,nodet,,,nodet,,,,N,,,
2MASS J16185037-2424319,,M5,17,M5,,,out,,,out,,,out,,,out,,,out,12.25,0.03,,11.96,0.03,,,,false,,,nodet,,,,N,,,
2MASS J16185430-2346075,,M5.25,2,M5.25,,,out,,,out,,,out,,,out,,,nodet,13.27,0.03,,12.85,0.03,,,,nodet,,,nodet,,,,N,,,
2MASS J16190341-2344085,,"M6.5,M5","16,2",M5,,,out,,,out,,,out,,,out,,,nodet,12.51,0.03,,12.16,0.03,,,,nodet,,,nodet,,,,N,,,
2MASS J16190474-2307526,,M5.5,17,M5.5,,,out,,,out,,,out,,,out,,,out,11.76,0.03,,11.47,0.02,,10.44,0.09,,,,false,,,,N,Y,,ev or trans
2MASS J16191521-2417241,,M4,17,M4,,,out,,,out,,,out,,,out,,,out,10.81,0.03,,10.56,0.02,,10.24,0.12,,,,nodet,,,,N,N,,
2MASS J16191646-2347235,,"M8,M6","16,2",M6,,,out,,,out,,,out,,,out,8.62,0.1,,13.18,0.04,,12.61,0.03,,,,nodet,,,nodet,,,Y,Y,,,full
2MASS J16192634-2412444,,"M6,M5","16,2",M5,,,out,,,out,,,out,,,out,,,nodet,12.04,0.03,,11.73,0.03,,,,nodet,,,nodet,,,,N,,,
2MASS J16192923-2124132,"HD 146897,HIP 79977","F2/F3V,F3V","1,9",F3V,,,out,,,out,,,out,,,out,4.14,0.04,,7.76,0.03,,7.77,0.02,,7.42,0.02,,4.31,0.02,,,,Y,N,Y,Y,debris/ev trans
2MASS J16192988-2440469,,"M8,M7","16,2",M7,,,out,,,out,,,out,,,out,,,nodet,12.67,0.03,,12.33,0.03,,,,nodet,,,nodet,,,,N,,,
2MASS J16192992-2425540,,M4,17,M4,,,out,,,out,,,out,,,out,9.8,0.21,,10.03,0.03,,9.83,0.02,,9.7,0.06,,,,nodet,,,N,N,N,,
2MASS J16193396-2228294,,"K0,K1IV","4,5",K0.5,,,out,8.41,0.02,,,,out,8.32,0.03,,8.23,0.05,,8.43,0.02,,8.45,0.02,,8.36,0.03,,8.45,0.34,,N,N,N,N,N,,
2MASS J16193785-2652308,"HD 146899,HIP 79987",A5II,8,A5II,,,out,,,out,,,out,,,out,,,out,8.09,0.03,,8.06,0.02,,8.01,0.03,,7.91,0.21,ext,,,,N,N,,
2MASS J16193976-2145349,,"M7,M6,M6","16,17,2",M6,,,out,,,out,,,out,,,out,7.09,0.04,,11.62,0.03,,10.98,0.02,,9.05,0.04,,7.3,0.11,,,,Y,Y,Y,Y,full
2MASS J16194210-2504323,,M6,2,M6,,,out,,,out,,,out,,,out,,,out,13.53,0.03,,12.99,0.05,,,,nodet,,,nodet,,,,Y?,,,full?
2MASS J16195058-3354453,,G6V,5,G6V,,,out,8.39,0.02,,,,out,8.37,0.03,,8.26,0.05,,8.31,0.02,,8.36,0.02,,8.3,0.03,,8.43,0.3,,N,N,N,N,N,,
2MASS J16195143-2241332,,M7.5,2,M7.5,,,out,,,out,,,out,,,out,,,out,,,unres,,,unres,,,unres,,,unres,,,,,,,
2MASS J16200397-2002413,"HD 147009,HIP 80019",A0V,1,A0V,7.07,0.02,,7.03,0.02,,7.03,0.03,,6.97,0.03,,6.42,0.05,,7.04,0.03,,7.01,0.02,,6.64,0.03,,5.76,0.1,ext,N,N,Y,N,Y,,debris/ev trans
2MASS J16200549-2003228,"HD 147010,HIP 80024,V933 Sco",B9II/III,1,B9II/III,6.73,0.02,,6.72,0.02,,6.73,0.03,,6.78,0.03,,5.39,0.05,,6.69,0.04,,6.7,0.02,,6.63,0.03,,5.26,0.04,,N,N,Y,N,N,Y,debris/ev trans
2MASS J16200757-2359150,,M6,19,M6,11.61,0.02,,11.5,0.02,,11.35,0.04,,11.48,0.06,,,,nodet,11.79,0.02,,11.47,0.02,,,,false,,,nodet,N,N,,N,,,
2MASS J16201318-2425014,,M4,17,M4,12.52,0.02,,12.44,0.02,,12.47,0.04,,12.7,0.06,,,,nodet,12.67,0.03,,12.45,0.03,,,,nodet,,,nodet,N,N,,N,,,
2MASS J16202128-2120289,,M6,19,M6,11.94,0.02,,11.85,0.03,,11.74,0.05,,11.85,0.05,,,,nodet,12.12,0.03,,11.88,0.03,,,,false,,,nodet,N,N,,N,,,
2MASS J16202523-2316033,,M5.5,19,M5.5,,,out,,,out,,,out,,,out,,,out,12.92,0.03,,12.67,0.03,,,,nodet,,,nodet,,,,N,,,
2MASS J16202813-2130324,"HD 147083,HIP 80059",A7III/IV,1,A7III/IV,,,out,7.43,0.02,,,,out,7.4,0.03,,7.42,0.04,,7.42,0.03,,7.42,0.02,,7.42,0.02,,7.36,0.11,,N,N,N,N,N,N,
2MASS J16203456-2430205,,M6.5,2,M6.5,11.9,0.02,,11.78,0.02,,11.75,0.03,,11.76,0.05,,,,nodet,12.08,0.03,,11.73,0.03,,,,nodet,,,nodet,N,N,,N,,,
2MASS J16204144-2425491,,"M7.5,M5","16,2",M5,12.41,0.02,,12.24,0.02,,12.16,0.04,,12.16,0.05,,,,nodet,12.57,0.03,,12.24,0.03,,,,nodet,,,nodet,N,N,,N,,,
2MASS J16204596-2348208,RX J1620.7-2348,K3,4,K3,8.82,0.02,,8.77,0.02,,8.76,0.03,,8.72,0.03,,8.5,0.09,,8.75,0.03,,8.75,0.03,,8.74,0.07,,,,nodet,N,N,N,N,N,,
2MASS J16205022-2235387,"HD 147137,HIP 80088",A9V,1,A9V,,,out,7.74,0.02,,,,out,7.72,0.03,,6.24,0.04,,7.73,0.03,,7.73,0.02,,7.56,0.02,,6.24,0.06,,N,N,Y,N,N,Y,debris/ev trans
2MASS J16210222-2358395,,M5.25,2,M5.25,12.66,0.02,,12.55,0.02,,12.46,0.03,,12.27,0.03,,,,nodet,12.86,0.03,,12.51,0.03,,,,false,,,false,N,N,,N,,,
2MASS J16210983-2535333,,B9.5V,35,B9.5V,,,out,,,out,,,out,,,out,,,nodet,7.03,0.05,bl,7.1,0.04,bl,,,bl,,,bl,,,,N,,,
2MASS J16211131-2535342,"HD 147165,HIP 80112,sigma Sco",B1III,1,B1III,,,out,,,out,,,out,,,out,2.37,0.05,,2.5,0.34,,,,err,2.22,0.03,,,,nodet,,,N,,N,,
2MASS J16211563-2436117,,M3.5,17,M3.5,11.35,0.02,,11.21,0.02,,11.26,0.03,,11.36,0.03,,,,nodet,11.44,0.03,,11.33,0.02,,,,nodet,,,nodet,N,N,,N,,,
2MASS J16211918-2342287,"HD 147196,HIP 80126",B6/B7Vn,1,B6V,6.4,0.02,,6.3,0.02,,6.18,0.03,,5.97,0.03,,3.87,0.04,,6.36,0.04,,6.33,0.02,,5.64,0.02,,3.96,0.03,,N,Y,Y,N,Y,Y,Be
2MASS J16211920-2425525,,M4,17,M4,10.23,0.02,,10.1,0.02,,10.05,0.03,,10.02,0.03,,,,nodet,10.37,0.02,,10.12,0.02,,9.71,0.11,,,,nodet,N,N,,N,N,,
2MASS J16212114-2206322,"HD 147220,HIP 80130",A9V,1,A9V,,,out,7.31,0.02,,,,out,7.4,0.03,,7.29,0.04,,7.31,0.03,,7.33,0.02,,7.35,0.02,,7.23,0.1,,N,N,N,N,N,N,
2MASS J16212488-2426145,,M3.5,17,M3.5,11.02,0.02,,10.88,0.02,,10.83,0.03,,10.85,0.03,,,,nodet,11.16,0.02,,10.93,0.02,,,,false,,,nodet,N,N,,N,,,
2MASS J16213591-2355035,,M6,19,M6,12.25,0.02,,12.12,0.02,,12.09,0.04,,12.04,0.04,,,,nodet,12.45,0.03,,12.14,0.03,,,,nodet,,,nodet,N,N,,N,,,
2MASS J16215466-2043091,GSC 06214-00210,"M1,K7","4,36",K7,,,out,,,out,,,out,,,out,8.51,0.1,,9.08,0.02,,9.11,0.02,,8.98,0.04,,8.31,0.27,,,,Y,N,N,,debris/ev trans
2MASS J16220961-1953005,,M3.7,37,M3.7,8.58,0.02,,8.47,0.02,,8.33,0.03,,8.2,0.03,,6.54,0.04,,8.65,0.03,,8.43,0.03,,7.84,0.02,,6.76,0.08,,N,N,Y,N,N,Y,debris/ev trans
2MASS J16221693-1825131,,M8.5,2,M8.5,,,out,,,out,,,out,,,out,,,out,13.99,0.04,,13.46,0.04,,,,nodet,,,nodet,,,,N,,,
2MASS J16221989-2421482,"HD 147343,HIP 80196",A1III/IV,1,A1III/IV,7.0,0.02,,6.96,0.02,,6.99,0.03,,6.97,0.03,,6.44,0.04,,6.97,0.03,,6.95,0.02,,6.95,0.02,,6.34,0.06,,N,N,Y,N,N,Y,debris/ev trans
2MASS J16222160-2217307,,M5,19,M5,,,out,,,out,,,out,,,out,7.44,0.07,,12.09,0.03,,11.63,0.03,,9.72,0.05,,7.57,0.2,,,,Y,Y,Y,Y,full
2MASS J16222521-2405139,Oph J 1622-2405A,"M9,M9,M7.25","38,39,40",M7.25,12.55,0.02,bin,12.33,0.02,bin,12.07,0.03,bin,11.69,0.04,bin,,,nodet,12.76,0.03,bin,12.35,0.03,bin,,,nodet,,,false,Y,Y,,Y,,,full
Oph J1622-2405 B,,"M9.5-L0,M9.5,M8.75","38,39,40",M8.75,,,unres,,,unres,,,unres,,,unres,,,nodet,,,unres,,,unres,,,nodet,,,nodet,,,,,,,
2MASS J16223834-2541017,,M6,2,M6,,,out,,,out,,,out,,,out,,,out,12.74,0.03,,12.31,0.03,,11.06,0.14,,,,false,,,,Y,Y,,full
2MASS J16224385-1951057,,M8,19,M8,10.61,0.02,,10.5,0.02,,10.45,0.03,,10.37,0.03,,10.25,0.14,,10.71,0.03,,10.41,0.02,,10.4,0.09,,,,nodet,N,N,N,N,N,,
2MASS J16225177-2307070,"HD 147432,HIP 80238",A1III/IV,1,A1III/IV,6.59,0.02,,6.6,0.02,,6.62,0.03,,6.55,0.03,,6.0,0.04,,6.56,0.04,,6.58,0.02,,6.46,0.02,,5.89,0.06,,N,N,Y,N,N,Y,debris/ev trans
2MASS J16230646-2528419,,M6,2,M6,,,out,,,out,,,out,,,out,,,out,13.37,0.03,,12.99,0.04,,,,nodet,,,nodet,,,,N,,,
2MASS J16230783-2300596,,"K2,K5","4,20",K3.5,8.05,0.02,,8.04,0.02,,7.98,0.03,,7.99,0.03,,7.32,0.1,,8.04,0.02,,8.03,0.02,,7.65,0.17,,,,nodet,N,N,Y,N,N,,debris/ev trans
2MASS J16232202-2609553,,M6.5,2,M6.5,,,out,12.63,0.02,,,,out,11.91,0.04,,,,nodet,13.43,0.03,,12.81,0.03,,11.85,0.27,,,,nodet,Y,Y,,Y,,,full
2MASS J16233234-2523485,,G1,4,G1,,,out,,,out,,,out,,,out,,,out,7.54,0.03,,7.52,0.02,,7.37,0.03,,,,false,,,,N,N,,
2MASS J16234716-2616157,"HD 147592,HIP 80311",A0V,8,A0V,,,out,7.92,0.02,,,,out,7.95,0.03,,7.94,0.05,,7.89,0.02,,7.88,0.02,,7.92,0.02,,7.72,0.18,ext,N,N,N,N,N,,
2MASS J16235155-2317270,,M8,19,M8,11.9,0.02,,11.77,0.02,,11.7,0.03,,11.78,0.04,,,,nodet,12.11,0.03,,11.79,0.03,,,,false,,,nodet,N,N,,N,,,
2MASS J16235385-2946401,"HD 147594,HIP 80320","G2/G3V,G3IV","8,5",G2.5,,,out,,,out,,,out,,,out,7.15,0.05,,7.61,0.03,,7.62,0.02,,7.53,0.02,,7.21,0.1,,,,Y,N,N,N,debris/ev trans
2MASS J16235470-2438319,,M6,19,M6,11.45,0.02,,11.31,0.02,,11.26,0.03,,11.22,0.03,,,,nodet,11.64,0.03,,11.33,0.02,,,,nodet,,,nodet,N,N,,N,,,
2MASS J16235672-3311578,"HD 147553,HIP 80324","A0V+A0V,B9.5V(n)+A1V(n)","8,10",B9.5V,,,out,7.02,0.02,,,,out,7.11,0.03,,7.2,0.11,,7.06,0.07,bl,7.07,0.03,bl,7.13,0.03,bl,7.23,0.16,bl,N,N,N,N,N,N,
2MASS J16235695-3312033,,B9.5Vn+A1Vn+A0V,10,B9.5V,,,out,7.36,0.02,,,,out,7.39,0.03,,7.2,0.11,,7.23,0.06,bl,7.29,0.03,bl,7.25,0.03,bl,6.75,0.11,bl,N,N,N,N,N,N,
2MASS J16240289-2524539,"HD 147648,HIP 80338",B8II,1,B8II,,,out,6.55,0.02,,,,out,6.61,0.03,,,,ext,6.53,0.04,,6.53,0.02,,6.43,0.02,ext,,,ext,N,N,,N,N?,,
2MASS J16242132-2501314,"HD 147701,HIP 80371",B5III,1,B5III,6.03,0.02,,6.02,0.02,,6.0,0.03,,5.99,0.03,,6.13,0.04,,6.01,0.05,,,,err,6.11,0.02,,5.94,0.05,,N,N,N,,N,N,
2MASS J16245136-2239325,HD 147808,"G6/G8V,G6,G9IVe","1,4,5",G7,,,out,,,out,,,out,,,out,6.89,0.05,,6.99,0.04,,7.0,0.02,,6.97,0.02,,6.96,0.09,,,,N,N,N,N,
2MASS J16245915-2521180,"HD 147809,HIP 80425",A1V,1,A1V,,,out,,,out,,,out,,,out,,,ext,6.95,0.03,,6.96,0.02,,5.94,0.02,ext,,,ext,,,,N,,,
2MASS J16250277-3006556,,M6,2,M6,,,out,,,out,,,out,,,out,,,out,13.69,0.03,,13.42,0.04,,,,nodet,,,false,,,,N,,,
2MASS J16250991-3047572,HD 147810,"K1(IV)+(F),G1","8,41",G1,,,out,7.24,0.02,,,,out,7.26,0.03,,7.18,0.04,,7.23,0.03,,7.17,0.02,,7.19,0.02,,7.26,0.11,,N,N,N,N,N,N,
2MASS J16252427-2327367,"HD 147888,HIP 80461,rho Oph D",B3/B4V,1,B3V,,,sat,5.4,0.02,,5.41,0.03,,5.36,0.03,,5.46,0.04,,5.48,0.05,,,,err,5.44,0.02,,5.5,0.04,,N,N,N,,N,N,
2MASS J16252860-1658509,,M8,19,M8,12.2,0.02,,12.08,0.02,,12.06,0.03,,12.04,0.04,,,,nodet,12.41,0.03,,12.12,0.03,,,,nodet,,,nodet,N,N,,N,,,
2MASS J16252969-2214543,,M5,19,M5,,,out,,,out,,,out,,,out,,,out,11.85,0.03,,11.58,0.03,,11.69,0.27,,,,nodet,,,,N,,,
2MASS J16253507-2324186,"HD 147932,HIP 80474,rho Oph C","B5V,A,B8","42,1,43",B8,,,sat,5.64,0.02,,5.6,0.03,,5.63,0.03,,5.56,0.04,,5.73,0.07,,,,err,5.77,0.03,,5.66,0.04,,N,N,N,,N,N,
2MASS J16253509-2326486,"HD 147933+HD 147934,HIP 80473,rho Oph A+B",B2/B3V+B2V,1,B2V,3.47,0.02,,3.46,0.02,,3.46,0.03,,3.54,0.03,,3.57,0.04,,3.48,0.12,,,,err,3.5,0.02,,3.56,0.03,,N,N,N,,N,N,
2MASS J16253672-2224285,,M7,19,M7,11.97,0.02,,11.89,0.03,,11.88,0.05,,11.82,0.05,,,,nodet,12.13,0.03,,11.84,0.03,,11.03,0.14,,,,nodet,N,N,,N,Y?,,evolved?
2MASS J16254322-2230026,,M5,19,M5,11.71,0.02,,,,out,11.66,0.05,,,,out,,,nodet,11.84,0.02,,11.58,0.02,,10.92,0.22,,,,false,,,,N,N,,
2MASS J16255066-2155454,,M4.75,17,M4.75,,,out,,,out,,,out,,,out,,,out,13.04,0.03,bl,12.8,0.04,bl,,,nodet,,,nodet,,,,N,,,
2MASS J16255065-2634062,"HD 147955,HIP 80493",B9V,8,B9V,,,out,7.0,0.02,,,,out,7.07,0.03,,7.0,0.04,,7.0,0.03,,6.99,0.02,,7.02,0.02,,6.97,0.09,,N,N,N,N,N,N,
2MASS J16260625-2334030,,M5.5,17,M5.5,,,out,11.15,0.02,,,,out,11.12,0.03,,,,nodet,11.45,0.03,,11.15,0.02,,,,false,,,false,N,N,,N,,,
2MASS J16262991-2741203,"HD 148040,HIP 80535",G0V,8,G0V,,,out,,,out,,,out,,,out,6.98,0.05,,7.14,0.03,,7.14,0.02,,7.15,0.02,,7.25,0.12,,,,N,N,N,N,
2MASS J16263026-2336551,,M6,19,M6,11.27,0.02,,10.86,0.02,,10.56,0.03,,9.96,0.03,,6.79,0.04,,11.53,0.03,,10.89,0.02,,9.13,0.04,,6.74,0.09,,Y,Y,Y,Y,Y,Y,full
2MASS J16263864-2158515,,M4,6,M4,,,out,,,out,,,out,,,out,,,out,10.54,0.03,,10.3,0.03,,10.11,0.07,,,,false,,,,N,N,,
2MASS J16265619-2213519,,M6,19,M6,12.02,0.02,,11.92,0.02,,11.82,0.05,,11.88,0.05,,,,nodet,12.21,0.03,,11.92,0.03,,,,false,,,nodet,N,N,,N,,,
2MASS J16270145-1827225,"HD 148184,HIP 80569,chi Oph",B2Vne,1,B2Vne,,,out,,,out,,,out,,,out,,,out,2.99,0.03,,,,err,1.06,0.01,,0.48,0.02,,,,,,Y,Y,Be
2MASS J16270217-2542346,,M6,2,M6,,,out,,,out,,,out,,,out,,,out,12.71,0.03,,12.16,0.03,,,,false,,,nodet,,,,Y,,,full
2MASS J16270942-2148457,,M4.5,17,M4.5,,,out,,,out,,,out,,,out,,,out,11.29,0.02,,10.87,0.02,,9.64,0.05,,7.38,0.11,,,,,Y,Y,Y,full
2MASS J16271252-2711219,"HD 148153,HIP 80586","F5V,F5IV-V","8,9",F5V,,,out,,,out,,,out,,,out,7.09,0.05,,6.9,0.03,bl,7.1,0.02,bl,7.22,0.02,,7.27,0.12,,,,N,N,N,N,
2MASS J16272034-2844302,,M6,2,M6,,,out,,,out,,,out,,,out,,,out,13.56,0.03,,13.03,0.04,,,,nodet,,,nodet,,,,Y,,,full
2MASS J16272553-2138036,,M4,6,M4,,,out,,,out,,,out,,,out,,,out,11.05,0.02,,10.84,0.02,,10.7,0.12,,,,nodet,,,,N,N,,
2MASS J16273956-2245230,,"K1,K2IVe,K5","4,5,20",K2,,,out,,,out,,,out,,,out,,,out,8.0,0.03,,8.02,0.02,,7.84,0.03,,7.49,0.15,ext,,,,N,N,,
2MASS J16274799-2457134,,M5,19,M5,,,out,11.57,0.02,,,,out,11.52,0.04,,,,nodet,11.88,0.03,,11.6,0.02,,,,nodet,,,nodet,N,N,,N,,,
2MASS J16281808-2428358,,M6,17,M6,10.9,0.02,,10.71,0.02,,10.66,0.03,,10.7,0.03,,,,nodet,11.05,0.03,,10.75,0.02,,,,false,,,nodet,N,N,,N,,,
2MASS J16284703-2428138,,M6,17,M6,11.2,0.02,,10.69,0.02,,10.32,0.03,,9.74,0.03,,7.38,0.06,,11.28,0.02,,10.61,0.02,,,,false,,,false,Y,Y,Y,Y,,,full
2MASS J16285281-2147410,,M3.5,6,M3.5,,,out,,,out,,,out,,,out,,,out,10.65,0.03,,10.49,0.02,,10.4,0.09,,,,nodet,,,,N,N,,
2MASS J16292211-1742091,,M4.75,17,M4.75,,,out,,,out,,,out,,,out,,,out,11.51,0.02,,11.28,0.02,,10.94,0.14,,,,nodet,,,,N,N,,
2MASS J16292443-2625549,"HD 148478,HIP 80763,alpha Sco,Antares","M1.5Iab,M0.5Iav+B3V:","8,10",M1.5Iab,,,out,,,out,,,out,,,out,,,out,,,sat,,,sat,,,sat,,,sat,,,,,,,
2MASS J16293624-2456527,,M6,17,M6,12.07,0.02,,12.01,0.02,,11.97,0.04,,11.97,0.05,,,,nodet,12.22,0.03,,11.95,0.03,,,,false,,,false,N,N,,N,,,
2MASS J16293662-1708413,,M4.75,17,M4.75,,,out,,,out,,,out,,,out,,,out,10.87,0.02,,10.62,0.02,,10.6,0.1,,,,nodet,,,,N,N,,
2MASS J16293934-1614570,,M3,17,M3,,,out,,,out,,,out,,,out,,,out,11.0,0.02,,10.89,0.02,,11.02,0.14,,,,nodet,,,,N,N,,
2MASS J16294869-2152118,Sco PMS 214,"K0,K2IVe,K5","12,5,20",K2,7.66,0.02,,7.65,0.02,,7.62,0.03,,7.59,0.03,,7.52,0.05,,7.61,0.03,,7.62,0.02,,7.53,0.02,,7.13,0.12,,N,N,N,N,N,N,
2MASS J16294879-2137086,,"M5,M5","19,6",M5,,,out,,,out,,,out,,,out,7.21,0.05,,11.23,0.03,,10.78,0.02,,9.04,0.04,,7.36,0.13,,,,Y,Y,Y,Y,full
2MASS J16295459-2458459,"HD 148562,HIP 80799",A2V,1,A2V,7.41,0.02,,7.34,0.02,,7.35,0.03,,7.31,0.03,,6.1,0.04,,7.25,0.03,,7.25,0.02,,7.19,0.03,,6.24,0.09,,N,N,Y,N,N,Y,debris/ev trans
2MASS J16302673-2359087,,M6,17,M6,10.83,0.02,,10.46,0.02,,10.17,0.03,,9.31,0.03,,5.95,0.04,,11.03,0.03,,10.45,0.02,,8.47,0.05,,6.09,0.07,,Y,Y,Y,Y,Y,Y,full
2MASS J16303390-2428062,,M4,17,M4,9.88,0.02,,9.63,0.02,,9.39,0.03,,8.76,0.03,,6.11,0.04,,9.96,0.02,,9.61,0.02,,7.89,0.03,,6.04,0.06,,Y,Y,Y,Y,Y,Y,full
2MASS J16305349-2424538,,M5.5,17,M5.5,10.48,0.02,,10.17,0.02,,9.85,0.03,,9.19,0.03,,6.49,0.04,,10.64,0.02,,10.15,0.02,,8.36,0.03,,6.49,0.09,,Y,Y,Y,Y,Y,Y,full
2MASS J16310240-2408431,,M5,17,M5,10.0,0.02,,9.74,0.02,,9.46,0.03,,8.99,0.03,,6.47,0.04,,10.26,0.02,,9.73,0.02,,8.24,0.03,,6.42,0.07,,Y,Y,Y,Y,Y,Y,full
2MASS J16311105-2959523,"HD 148716,HIP 80896","F3V,F3V","8,9",F3V,,,out,7.4,0.02,,,,out,7.48,0.03,,7.36,0.04,,7.38,0.03,,7.38,0.02,,7.38,0.02,,7.38,0.13,,N,N,N,N,N,N,
2MASS J16313519-2542261,,M7.5,2,M7.5,,,out,,,out,,,out,,,out,,,out,13.2,0.03,,12.86,0.04,,,,nodet,,,nodet,,,,N,,,
2MASS J16320136-2237081,,M5.5,2,M5.5,,,out,,,out,,,out,,,out,,,out,11.6,0.03,,11.05,0.03,,9.49,0.04,,7.54,0.13,,,,,Y,Y,Y,full
2MASS J16324221-2316562,,M5.5,17,M5.5,,,out,,,out,,,out,,,out,,,nodet,10.64,0.02,,10.4,0.02,,10.19,0.12,,,,false,,,,N,N,,
2MASS J16324727-2059375,,M6,19,M6,11.89,0.02,,11.6,0.02,,11.32,0.03,,10.87,0.03,,7.35,0.04,,12.13,0.02,,11.67,0.02,,9.93,0.06,,7.62,0.15,,Y,Y,Y,Y,Y,Y,full
2MASS J16332000-2741076,,M5.5,2,M5.5,,,out,,,out,,,out,,,out,,,out,13.37,0.03,,13.13,0.04,,,,false,,,nodet,,,,N,,,
2MASS J16342850-2201119,,M6,6,M6,,,out,,,out,,,out,,,out,,,out,11.9,0.03,,11.58,0.02,,11.12,0.14,,,,nodet,,,,N,N,,
2MASS J16354836-2148396,,M0,4,M0,,,out,,,out,,,out,,,out,,,out,8.34,0.03,,8.23,0.02,,8.09,0.03,,7.98,0.2,ext,,,,N,N,,
2MASS J16355295-2812576,"HD 149438,HIP 81266,tau Sco",B0V,8,B0V,,,out,3.64,0.02,,,,out,3.75,0.03,,3.56,0.04,,3.55,0.15,,,,err,3.72,0.02,,3.47,0.07,,N,N,N,,N,N,
2MASS J16365288-2708187,HD 149598,G0,8,G0,,,out,8.01,0.02,,,,out,7.97,0.03,,7.81,0.05,,7.99,0.02,,8.02,0.02,,7.98,0.03,,,,false,N,N,N,N,N,,
2MASS J16370753-2432395,,M6,2,M6,11.97,0.02,,11.75,0.02,,11.71,0.03,,11.76,0.04,,,,nodet,12.15,0.03,,11.79,0.03,,,,false,,,nodet,N,N,,N,,,
2MASS J16372167-3006521,"HD 149664,HIP 81392",G2/G3V,8,G2V,,,out,,,out,,,out,,,out,,,out,7.75,0.02,,7.8,0.02,,7.77,0.03,,7.63,0.16,ext,,,,N,N,,
2MASS J16381081-2940401,"HD 149790,HIP 81455","F3V,F5IV-V","8,9",F5V,,,out,,,out,,,out,,,out,7.63,0.05,,7.67,0.02,bl,7.6,0.02,bl,7.99,0.03,bl,7.85,0.23,bl,,,Y,N,N,N,debris/ev trans
2MASS J16382865-1813136,"HD 149914,HIP 81474",B9.5IV,1,B9.5IV,,,out,,,out,,,out,,,out,,,out,5.66,0.06,,,,err,5.42,0.02,,3.85,0.02,,,,,,Y,Y,debris/ev trans
2MASS J16391914-2534093,,"L1,M8.5-L0","7,2",M9.5,14.58,0.03,,14.24,0.03,,,,out,,,out,,,out,14.22,0.04,,13.84,0.06,,,,nodet,,,nodet,N,,,Y,,,full
2MASS J16401792-2353452,"HD 150193,HIP 81624",A1V,1,A1V,,,sat,,,out,3.42,0.03,,,,out,,,out,4.38,0.09,,,,err,0.96,0.01,,-0.56,0.01,,,,,,Y,Y,full
2MASS J16420771-3038378,,G8V,5,G8V,,,out,8.53,0.02,,,,out,8.5,0.03,,8.47,0.1,,8.52,0.02,,8.51,0.02,,8.48,0.03,,,,nodet,N,N,N,N,N,,
2MASS J16430538-2627307,"HD 150589,HIP 81851","F2V,F3V","8,9",F3V,,,out,,,out,,,out,,,out,7.47,0.06,,7.45,0.03,,7.48,0.02,,7.48,0.02,,7.34,0.12,,,,N,N,N,N,
2MASS J16474733-1952319,"HD 151376,HIP 82218","F2/F3V,F3V","1,9",F3V,,,out,,,out,,,out,,,out,6.96,0.05,,7.75,0.03,,7.79,0.02,,7.7,0.02,,6.95,0.09,,,,Y,N,N,Y,debris/ev trans
2MASS J16491221-2242416,"HD 151594,HIP 82319","F3V,F3V","1,9",F3V,,,out,7.83,0.02,,,,out,7.86,0.03,,7.79,0.05,,7.64,0.02,,7.73,0.02,,7.82,0.03,,8.05,0.26,,N,N,N,N,N,,
2MASS J16501069-2644331,"HD 151721,HIP 82397",A3V,8,A3V,,,out,7.28,0.02,,,,out,7.34,0.03,,6.49,0.04,,7.25,0.03,,7.28,0.02,,7.21,0.02,,6.48,0.07,,N,N,Y,N,N,Y,debris/ev trans
