Name,OtherNames,SpType,r_SpType,Adopt,3.6mag,e_3.6mag,f_3.6mag,4.5mag,e_4.5mag,f_4.5mag,5.8mag,e_5.8mag,f_5.8mag,8.0mag,e_8.0mag,f_8.0mag,24mag,e_24mag,f_24mag,W1mag,e_W1mag,f_W1mag,W2mag,e_W2mag,f_W2mag,W3mag,e_W3mag,f_W3mag,W4mag,e_W4mag,f_W4mag,Exc4.5,Exc8.0,Exc24,ExcW2,ExcW3,ExcW4,DiskType,MAIN_ID,RA,DEC,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,OTYPE,SP_TYPE,SP_QUAL,SP_NATURE,SP_BIBCODE,INPUT
2MASS J16104636-1840598,,"M4,M4.5","14,17",M4.5,,,out,,,out,,,out,,,out,,,out,10.74,0.03,,10.26,0.02,,8.63,0.04,,6.66,0.07,,,,,Y,Y,Y,full,2MASS J16104636-1840598,16 10 46.361,-18 40 59.87,7.0,7.0,60.0,60.0,90.0,B,I,2003yCat.2246....0C,pMS*,M4.5,D,,2008ApJ...688..377S,2MASS J16104636-1840598
2MASS J16104714-2239492,,"M9,M8.5","7,25",M8.5,13.55,0.03,,13.44,0.03,,,,out,,,out,,,out,13.8,0.03,,13.51,0.04,,,,nodet,,,nodet,N,,,N,,,,2MASS J16104714-2239492,16 10 47.14,-22 39 49.3,6.0,6.0,60.0,60.0,90.0,B,I,2003yCat.2246....0C,brownD*,M9.00,D,,2011A&A...527A..24L,2MASS J16104714-2239492
2MASS J16104996-2212515,,"M5.5,M5.5,M5.5","16,25,2",M5.5,,,out,,,out,,,out,,,out,,,out,11.5,0.02,,11.23,0.02,,11.09,0.16,,,,nodet,,,,N,N,,,2MASS J16104996-2212515,16 10 49.962,-22 12 51.59,7.0,7.0,60.0,60.0,90.0,B,I,2003yCat.2246....0C,Star,M5.5,D,,2009A&A...504..981B,2MASS J16104996-2212515
2MASS J16105240-1937344,,M3,14,M3,,,out,10.38,0.02,,,,out,10.28,0.03,,8.8,0.07,,10.6,0.03,,10.38,0.02,,10.25,0.07,,,,false,N,N,,N,N,,,2MASS J16105240-1937344,16 10 52.406,-19 37 34.44,7.0,7.0,60.0,60.0,90.0,B,I,2003yCat.2246....0C,*inAssoc,M3,D,,2009A&A...504..981B,2MASS J16105240-1937344
2MASS J16105429-2309108,,M5.75,25,M5.75,,,out,,,out,,,out,,,out,,,out,11.88,0.03,,11.68,0.02,,,,false,,,nodet,,,,N,,,,2MASS J16105429-2309108,16 10 54.29,-23 09 10.9,6.0,6.0,60.0,60.0,90.0,B,I,2003yCat.2246....0C,brownD*,M5.75,D,,2011A&A...527A..24L,2MASS J16105429-2309108
2MASS J16105499-2126139,,M6,17,M6,,,out,,,out,,,out,,,out,,,out,11.56,0.02,,11.29,0.02,,10.74,0.12,,,,nodet,,,,N,N,,,2MASS J16105499-2126139,16 10 54.993,-21 26 13.93,7.0,7.0,,,0.0,B,I,2003yCat.2246....0C,pMS*,M6,D,,2008ApJ...688..377S,2MASS J16105499-2126139
2MASS J16105511-2531214,"HD 145263,HIP 79288","F0V,F2V","1,9",F2V,,,out,,,out,,,out,,,out,3.09,0.04,,7.77,0.03,,7.62,0.02,,5.05,0.02,,3.17,0.02,,,,Y,Y,Y,Y,debris/ev trans,HD 145263,16 10 55.1063,-25 31 21.665,9.0,9.0,8.699999809265137,6.75,90.0,A,O,2007A&A...474..653V,Star,F0V,C,,1988MSS...C04....0H,2MASS J16105511-2531214
2MASS J16105728-2359540,,"M4,M5","17,25",M4.5,,,out,,,out,,,out,,,out,,,out,11.68,0.03,,11.48,0.03,,11.57,0.24,,,,nodet,,,,N,N,,,2MASS J16105728-2359540,16 10 57.284,-23 59 54.01,7.0,7.0,,,0.0,B,I,2003yCat.2246....0C,pMS*,M4,D,,2008ApJ...688..377S,2MASS J16105728-2359540
2MASS J16105792-2511100,,M3.75,2,M3.75,,,out,,,out,,,out,,,out,,,out,9.75,0.02,,9.62,0.02,,9.53,0.04,,,,nodet,,,,N,N,,,2MASS J16105792-2511100,16 10 57.928,-25 11 10.04,7.0,7.0,70.0,60.0,0.0,B,N,2003yCat.2246....0C,Star,,,,,2MASS J16105792-2511100
2MASS J16110142-1924489,,"M5,M6","17,13",M5,,,out,,,out,,,out,,,out,,,nodet,12.08,0.02,bl,11.83,0.03,bl,,,false,,,nodet,,,,N,,,,2MASS J16110142-1924489,16 11 01.428,-19 24 48.91,7.0,7.0,60.0,60.0,90.0,B,I,2003yCat.2246....0C,pMS*,M5,D,,2008ApJ...688..377S,2MASS J16110142-1924489
